taxon,18S,atpB,ndhF,trnL-trnF,
Arctostaphylos_myrtifolia,,,,,
Arctostaphylos_nevadensis,,,,,
Arctostaphylos_nissenana,,,,,
Arctostaphylos_nortensis,,,,,
Arctostaphylos_nummularia,,,,,
Arctostaphylos_obispoensis,,,,,
Arctostaphylos_ohloneana,,,,,
Arctostaphylos_osoensis,,,,,
Arctostaphylos_otayensis,,,,,
Arctostaphylos_pacifica,,,,,
Arctostaphylos_pajaroensis,,,,,
Arctostaphylos_pallida,,,,,
Arctostaphylos_parryana,,,,,
Arctostaphylos_patula,,,,,
Arctostaphylos_pechoensis,,,,,
Arctostaphylos_pilosula,,,,,
Arctostaphylos_pringlei,,,,,
Arctostaphylos_pumila,,,,,
Arctostaphylos_pungens,,,,,
Arctostaphylos_purissima,,,,,
Arctostaphylos_rainbowensis,,,,,
Arctostaphylos_refugioensis,,,,,
Arctostaphylos_regismontana,,,,,
Arctostaphylos_rudis,,,,,
Arctostaphylos_sensitiva,,,,,
Arctostaphylos_silvicola,,,,,
Arctostaphylos_stanfordiana,,,,,
Arctostaphylos_tomentosa,,,,,
Arctostaphylos_uva-ursi,L49272.1,AJ236225.1,AJ236248.1,FJ357293.1,
Arctostaphylos_virgata,,,,,
Arctostaphylos_viridissima,,,,,
Arctostaphylos_viscida,,,,,
Arenaria_lanuginosa,,,,FJ404968.1,
Arenaria_paludicola,,,,,
Argemone_corymbosa,,,,,
Argemone_munita,,,,,
Argyrochosma_jonesii,,,,DQ914210.1,
Argyrochosma_limitanea,,EF452019.1,,DQ914211.1,
Aristida_adscensionis,,EF422970.1,HE573459.1,DQ172200.1,
Aristida_californica,,,HE573460.1,DQ172207.1,
Aristida_divaricata,,,,DQ172219.1,
Aristida_oligantha,,,HE573466.1,DQ172246.1,
Aristida_purpurea,,,U21966.1,DQ172260.1,
Aristida_ternipes,,,FR821352.1,DQ172282.1,
Aristolochia_californica,,,,GU445335.1,
Armeria_maritima,,,,GQ901205.1,
Arnica_cernua,,,,,
Arnica_chamissonis,,,,,
Arnica_cordifolia,,,,EF104924.1,
Arnica_dealbata,,,AF384802.3,AY216257.1,
Arnica_discoidea,,,,,
Arnica_fulgens,,,,,
Arnica_lanceolata,,,,,
Arnica_latifolia,,,,,
Arnica_longifolia,,,,,
Arnica_mollis,,,AF384695.3,AY216143.1,
Arnica_nevadensis,,,,,
Arnica_ovata,,,,,
Arnica_parryi,,,,,
Arnica_sororia,,,,,
Arnica_spathulata,,,,,
Arnica_venosa,,,,,
Arnica_viscosa,,,,,
Artemisia_norvegica,,,,,
Artemisia_douglasiana,,,,JX073801.1,
Artemisia_ludoviciana,,,,JX073787.1,
Artemisia_michauxiana,,,,,
Artemisia_palmeri,,,,,
Artemisia_suksdorfii,,,,JX073786.1,
Artemisia_borealis,,,,,
Artemisia_dracunculus,,,,KF736819.1,
Artemisia_pycnocephala,,,,JX073790.1,
Artemisia_arbuscula,,,,JX073753.1,
Artemisia_bigelovii,,,,JX073789.1,
Artemisia_californica,,,,JX073772.1,
Artemisia_cana,,,,JX073755.1,
Artemisia_nesiotica,,,,JX073771.1,
Artemisia_nova,,,,,
Artemisia_rothrockii,,,,JX073752.1,
Artemisia_spiciformis,,,,,
Artemisia_spinescens,,,,,
Artemisia_tridentata,,,AF153630.1,JX073773.1,
Sphaeromeria_cana,,,,,
Sphaeromeria_potentilloides,,,,JX073825.1,
Arthrocnemum_subterminale,,,,,
Aruncus_dioicus,,,KF154856.1,AF348536.1,
Asarum_caudatum,,,,AY689149.1,
Asarum_hartwegii,,,,KJ888674.1,
Asarum_lemmonii,,,,KJ888680.1,
Asarum_marmoratum,,,,,
Asclepias_albicans,,,,,
Asclepias_asperula,,,,,
Asclepias_californica,,,,,
Asclepias_cordifolia,,,,,
Asclepias_cryptoceras,,,,,
Asclepias_eriocarpa,,,,,
Asclepias_erosa,,,,,
Asclepias_fascicularis,,,,AM295737.1,
Asclepias_latifolia,,,,,
Asclepias_nyctaginifolia,,,,,
Asclepias_solanoana,,,,,
Asclepias_speciosa,,,,,
Asclepias_subulata,,,,,
Asclepias_vestita,,,,,
Aspidotis_californica,,,,DQ914213.1,
Aspidotis_carlotta-halliae,,,,DQ914214.1,
Aspidotis_densa,,,,,
Asplenium_septentrionale,,JF832152.1,,AF525248.1,
Asplenium_trichomanes,,EF463349.1,,AY549868.1,
Asplenium_vespertinum,,,,,
Asplenium_viride,,EU352267.1,EU349588.1,AY549862.1,
Astragalus_agrestis,,,,,
Astragalus_canadensis,,,,,
Astragalus_accidens,,,,,
Astragalus_acutirostris,,,,,
Astragalus_agnicidus,,,,,
Astragalus_albens,,,,,
Astragalus_allochrous,,,,,
Astragalus_andersonii,,,,,
Astragalus_anxius,,,,,
Astragalus_argophyllus,,,,,
Astragalus_aridus,,,,,
Astragalus_asymmetricus,,,,,
Astragalus_atratus,,,,,
Astragalus_austiniae,,,,,
Astragalus_bernardinus,,,,,
Astragalus_bicristatus,,,,,
Astragalus_bolanderi,,,,,
Astragalus_brauntonii,,,,,
Astragalus_breweri,,,,,
Astragalus_californicus,,,,,
Astragalus_calycosus,,,,,
Astragalus_casei,,,,,
Astragalus_cimae,,,,,
Astragalus_claranus,,,,,
Astragalus_clevelandii,,,,,
Astragalus_coccineus,,,,,
Astragalus_congdonii,,,,,
Astragalus_crotalariae,,,,,
Astragalus_curtipes,,,,,
Astragalus_curvicarpus,,,,,
Astragalus_deanei,,,,,
Astragalus_didymocarpus,,,,DQ403847.1,
Astragalus_douglasii,,,,,
Astragalus_ertterae,,,,,
Astragalus_filipes,,,,,
Astragalus_funereus,,,,,
Astragalus_gambelianus,,,,,
Astragalus_geyeri,,,,,
Astragalus_gibbsii,,,,,
Astragalus_gilmanii,,,,,
Astragalus_hornii,,,,,
Astragalus_insularis,,,,,
Astragalus_inversus,,,,,
Astragalus_inyoensis,,,,,
Astragalus_iodanthus,,,,,
Astragalus_jaegerianus,,,,DQ403845.1,
Astragalus_johannis-howellii,,,,,
Astragalus_kentrophyta,,,,,
Astragalus_layneae,,,,DQ403850.1,
Astragalus_lemmonii,,,,,
Astragalus_lentiformis,,,,,
Astragalus_lentiginosus,,,,,
Astragalus_leucolobus,,,,,
Astragalus_macrodon,,,,,
Astragalus_magdalenae,,,,,
Astragalus_malacus,,,,,
Astragalus_miguelensis,,,,,
Astragalus_minthorniae,,,,,
Astragalus_mohavensis,,,,,
Astragalus_monoensis,,,,,
Astragalus_nevinii,,,,,
Astragalus_newberryi,,,,,
Astragalus_nutans,,,,,
Astragalus_nuttallianus,,,,,
Astragalus_nuttallii,,,,,
Astragalus_obscurus,,,,,
Astragalus_oocarpus,,,,,
Astragalus_oophorus,,,AB052063.1,,
Astragalus_oxyphysus,,,,,
Astragalus_pachypus,,,,,
Astragalus_palmeri,,,,,
Astragalus_panamintensis,,,,,
Astragalus_pauperculus,,,,,
Astragalus_platytropis,,,,,
Astragalus_pomonensis,,,,,
Astragalus_preussii,,,,,
Astragalus_pseudiodanthus,,,,,
Astragalus_pulsiferae,,,,,
Astragalus_purshii,,,,,
Astragalus_pycnostachyus,,,,,
Astragalus_rattanii,,,,,
Astragalus_ravenii,,,,,
Astragalus_sabulonum,,,,,
Astragalus_sepultipes,,,,,
Astragalus_serenoi,,,,,
Astragalus_shevockii,,,,,
