Eriophyllum staechadifolium,149426
Eurybia radulina,481926
Euthamia occidentalis,199512
Gamochaeta ustulata,318055
Glebionis coronaria,99038
Gnaphalium palustre,1754128
Grindelia camporum,662482
Grindelia hirsutula,1114741
Grindelia stricta var. platyphylla,1114763
Hazardia cana,71054
Hazardia detonsa,147777
Hazardia squarrosa var. grindelioides,147803
Hedypnois cretica,268036
Helenium puberulum,not found
Helianthus annuus,4232
Helminthotheca echioides,174463
Hesperevax sparsiflora var. sparsiflora,not found
Heterotheca grandiflora,not found
Hieracium argutum,378941
Hypochaeris glabra,58647
Hypochaeris radicata,58656
Isocoma menziesii var. decumbens,not found
Isocoma menziesii var. menziesii,not found
Isocoma menziesii var. sedoides,not found
Isocoma menziesii var. vernonioides,147782
Jaumea carnosa,41592
Lactuca saligna,75948
Lactuca serriola,75943
Laennecia coulteri,not found
Lasthenia glabrata ssp. coulteri,182810
Lasthenia gracilis,182806
Layia platyglossa,511973
Lepidospartum squamatum,not found
Leptosyne gigantea,159663
Logfia arizonica,702218
Logfia filaginoides,702221
Logfia gallica,125729
Madia elegans,4255
Madia exigua,not found
Madia gracilis,not found
Madia sativa,149445
Malacothrix clevelandii,231811
Malacothrix coulteri,231815
Malacothrix foliosa ssp. crispifolia,657450
Malacothrix foliosa ssp. foliosa,657451
Malacothrix foliosa ssp. philbrickii,657452
Malacothrix foliosa ssp. polycephala,231966
Malacothrix incana,231809
Malacothrix indecora,657454
Malacothrix junakii,657455
Malacothrix saxatilis var. implicata,231963
Malacothrix saxatilis var. tenuifolia,657456
Malacothrix similis,657457
Malacothrix squalida,657459
Matricaria discoidea,883867
Matricaria occidentalis,not found
Micropus californicus var. californicus,not found
Microseris douglasii ssp. douglasii,not found
Microseris douglasii ssp. tenella,not found
Microseris douglasii ssp. platycarpha,not found
Microseris elegans,51945
Munzothamnus blairii,184940
Pentachaeta lyonii,1223280
Perityle emoryi,176562
Pluchea odorata,1548633
Pluchea sericea,41624
Pseudognaphalium beneolens,1442705
Pseudognaphalium biolettii,1442706
Pseudognaphalium californicum,857095
Pseudognaphalium luteoalbum,59425
Pseudognaphalium microcephalum,49080
Pseudognaphalium ramosissimum,1442710
Pseudognaphalium stramineum,not found
Psilocarphus brevissimus var. brevissimus,not found
Psilocarphus tenellus,1754181
Rafinesquia californica,184948
Senecio aphanactis,183620
Senecio flaccidus var. douglasii,98720
Senecio glomeratus,281181
Senecio lyonii,not found
Senecio vulgaris,76276
Silybum marianum,92921
Solidago velutina ssp. californica,not found
Sonchus asper,50193
Sonchus oleraceus,50207
Sonchus tenerrimus,255578
Stebbinsoseris heterocarpa,231838
Stephanomeria cichoriacea,184950
Stephanomeria diegensis,184951
Stephanomeria exigua ssp. coronaria,184954
Stephanomeria virgata ssp. virgata,184969
Stylocline gnaphaloides,not found
Symphyotrichum chilense,not found
Symphyotrichum subulatum,71035
Taraxacum erythrospermum,268104
Taraxacum officinale,50225
Thelesperma megapotamicum,153168
Tragopogon porrifolius,13731
Uropappus lindleyi,80677
Venegasia carpesioides,41659
Xanthium spinosum,1053410
Xanthium strumarium,318068
Batis maritima,4436
Berberis pinnata ssp. insularis,not found
Amsinckia intermedia,not found
Amsinckia menziesii,1213287
Amsinckia spectabilis var. spectabilis,255600
Cryptantha clevelandii,not found
Cryptantha intermedia var. intermedia,not found
Cryptantha leiocarpa,1213317
Cryptantha maritima,1213320
Johnstonella micromeres,1213321
Cryptantha microstachys,not found
Cryptantha muricata,1563372
Cryptantha traskiae,1213332
Cryptantha wigginsii,not found
Emmenanthe penduliflora var. penduliflora,79346
Eriodictyon traskiae ssp. traskiae,not found
Eucrypta chrysanthemifolia var. chrysanthemifolia,not found
Harpagonella palmeri,1288200
Heliotropium curassavicum var. oculatum,168364
Nama stenocarpum,79373
Nemophila menziesii,79376
Nemophila pedunculata,not found
Pectocarya linearis ssp. ferocula,not found
Pectocarya penicillata,1213337
Phacelia cicutaria var. hispida,1241244
