taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Nuttallanthus	708	0.73	0.5	0.0	0.67	0.0	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.67	0.0	0.45	1.0	0.83	1.0	0.0	0.0	0.0	0.0	0.32	0.86	0.0	0.83	0.0	0.0	0.0	0.98	0.67	0.0	0.88	0.94	1.0	0.5	0.66	0.0	0.65	0.75	0.0	0.9	0.0	0.0	0.0	1.0	0.0	0.75	0.0	1.0	0.0	0.33	0.0	0.0	0.86	0.0	0.0
Trisetum	2100	0.89	0.69	1.0	1.0	1.0	1.0	1.0	0.83	0.97	0.92	0.86	1.0	0.99	0.0	0.96	1.0	0.0	0.0	0.93	1.0	0.84	0.89	0.84	0.93	0.0	0.86	0.97	0.6	1.0	0.94	0.0	0.9	0.99	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.33	0.82	1.0	0.88	0.0	0.92	0.91	1.0	0.9	0.0	0.79	0.0	0.0	1.0	0.97	0.86	0.88	0.09	0.0	0.0	1.0
Fagonia	707	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.98	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0
Allenrolfea	411	0.84	1.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.91	1.0	0.0	0.9	0.77	1.0	1.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.52	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	1.0	0.84	0.0	1.0	0.56	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0
Petalonyx	879	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.83	1.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.98	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.29	0.0	0.0	0.0
Paspalum	649	0.85	0.4	0.0	1.0	1.0	0.5	1.0	0.82	1.0	0.0	0.5	1.0	1.0	0.5	0.87	1.0	0.0	1.0	1.0	0.97	0.0	0.67	0.0	0.89	0.67	0.0	1.0	0.92	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.97	0.94	0.67	1.0	0.38	0.95	0.67	0.47	0.0	0.75	1.0	0.0	0.5	1.0	0.9	0.6	0.57	1.0	0.0	0.8	0.8	0.0	0.94	0.95	1.0
Caulanthus	5790	0.7	0.59	1.0	0.0	0.62	1.0	0.71	0.61	0.0	0.0	0.31	1.0	0.33	0.8	0.55	0.68	0.84	0.67	0.92	0.69	0.25	0.25	0.0	0.75	0.82	1.0	0.68	0.43	0.65	0.0	0.97	0.0	1.0	0.0	0.96	0.67	0.35	0.86	0.9	0.67	0.95	0.43	0.61	0.76	0.47	0.0	0.91	1.0	0.0	0.0	0.42	0.45	0.71	0.0	0.67	1.0	0.48	0.0	0.15	0.72	0.75	0.0
Spirodela	73	0.58	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.6	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.55	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Alisma	359	0.45	0.0	0.0	0.0	0.69	0.0	0.43	0.4	0.0	1.0	0.0	0.0	0.25	0.0	0.0	0.2	0.0	0.67	0.67	0.68	0.0	0.17	0.33	0.33	0.5	0.52	0.0	0.46	0.0	0.25	0.0	0.5	0.41	0.0	1.0	0.5	0.0	1.0	1.0	0.0	1.0	0.45	0.63	0.33	0.22	0.0	0.25	0.75	0.0	0.22	0.5	0.11	0.0	0.0	1.0	0.0	0.0	0.17	0.0	0.76	0.0	0.0
Acer	3136	0.89	0.89	1.0	0.76	1.0	0.57	0.91	0.76	0.97	0.97	1.0	1.0	0.96	0.0	0.77	1.0	0.0	1.0	1.0	0.99	0.0	0.88	0.83	1.0	0.29	1.0	0.9	1.0	0.97	0.95	0.87	0.91	0.91	0.0	0.94	0.93	0.0	0.97	0.89	1.0	1.0	0.66	0.75	0.96	0.93	0.0	0.96	0.73	1.0	0.95	0.94	0.82	0.5	1.0	0.96	0.93	0.63	0.74	0.09	0.72	1.0	1.0
