taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Blepharidachne	43	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Parkinsonia	522	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	1.0	0.98	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Garrya	3994	0.88	0.66	1.0	0.0	1.0	1.0	1.0	0.66	0.96	1.0	0.81	1.0	1.0	1.0	1.0	0.99	0.0	0.98	1.0	0.98	0.0	0.91	0.78	0.89	0.0	0.75	0.0	0.98	0.98	0.96	1.0	1.0	0.97	0.0	0.95	0.0	0.86	0.98	0.86	0.0	0.0	0.38	0.72	0.91	0.79	0.0	0.88	0.8	1.0	0.81	0.91	0.84	0.44	1.0	0.98	0.84	0.68	0.79	0.09	0.64	1.0	1.0
Landoltia	29	0.62	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Phalaris_1	179	0.89	1.0	1.0	0.0	1.0	0.0	0.0	0.8	1.0	1.0	0.63	0.0	0.83	0.0	1.0	1.0	0.0	0.86	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.86	1.0	0.0	0.0	1.0	0.0	0.67	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	1.0	0.5	1.0	0.9	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
Adenostoma	2470	0.89	1.0	0.0	0.88	1.0	1.0	1.0	0.86	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9	0.0	1.0	0.0	0.98	0.0	1.0	0.75	1.0	0.0	0.0	0.0	0.92	1.0	0.0	1.0	1.0	0.0	0.0	0.98	1.0	0.93	0.95	0.87	0.0	0.0	0.53	1.0	0.93	0.92	0.0	1.0	0.63	1.0	0.0	0.79	0.88	0.33	0.0	1.0	1.0	0.58	0.73	0.24	0.73	1.0	1.0
Shepherdia	158	0.84	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0
Equisetum_1	1551	0.56	0.57	0.43	0.89	0.89	0.8	1.0	0.56	0.26	0.48	0.49	1.0	0.3	0.0	0.59	0.68	0.0	0.58	1.0	0.51	0.43	0.4	0.5	0.36	0.0	0.63	0.41	0.42	0.5	0.5	1.0	0.89	0.76	0.0	1.0	0.33	0.0	0.85	0.73	0.46	0.2	0.51	0.41	0.68	0.17	0.0	0.89	0.19	0.3	0.33	1.0	0.45	0.0	0.0	0.83	0.73	0.42	0.5	0.0	0.82	0.25	0.67
Chlorogalum_3	689	0.64	0.55	0.0	0.64	0.67	0.44	1.0	0.86	1.0	0.69	0.58	1.0	0.13	0.0	0.0	1.0	0.0	0.69	0.0	0.58	0.5	0.43	0.42	0.5	0.5	0.0	0.0	0.65	0.75	1.0	0.91	0.9	0.0	0.0	0.88	0.83	0.0	0.9	0.93	0.2	0.0	0.64	0.52	0.72	0.67	0.0	0.83	0.25	0.0	0.0	0.64	0.25	0.75	1.0	0.73	0.86	0.53	0.58	0.0	0.85	0.6	1.0
Aquilegia_1	355	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.4	0.0	1.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.67	0.0	0.0	0.0	0.0
