Arctostaphylos_uva-ursi,84009
Arctostaphylos_virgata,659576
Arctostaphylos_viridissima,143386
Arctostaphylos_viscida,89206
Arenaria_lanuginosa,410628
Arenaria_paludicola,not found
Argemone_corymbosa,99311
Argemone_munita,99321
Argyrochosma_jonesii,414590
Argyrochosma_limitanea,414591
Aristida_adscensionis,121766
Aristida_californica,348183
Aristida_divaricata,348200
Aristida_oligantha,348227
Aristida_purpurea,65970
Aristida_ternipes,348265
Aristolochia_californica,171875
Armeria_maritima,71835
Arnica_cernua,149408
Arnica_chamissonis,436195
Arnica_cordifolia,344073
Arnica_dealbata,149409
Arnica_discoidea,436196
Arnica_fulgens,436197
Arnica_lanceolata,436201
Arnica_latifolia,436203
Arnica_longifolia,149410
Arnica_mollis,4247
Arnica_nevadensis,436208
Arnica_ovata,436209
Arnica_parryi,436210
Arnica_sororia,436213
Arnica_spathulata,436214
Arnica_venosa,436457
Arnica_viscosa,436215
Artemisia_norvegica,401918
Artemisia_douglasiana,1227621
Artemisia_ludoviciana,86312
Artemisia_michauxiana,401916
Artemisia_palmeri,86313
Artemisia_suksdorfii,200865
Artemisia_borealis,401879
Artemisia_dracunculus,72341
Artemisia_pycnocephala,1027794
Artemisia_arbuscula,86307
Artemisia_bigelovii,86308
Artemisia_californica,86309
Artemisia_cana,72338
Artemisia_nesiotica,480632
Artemisia_nova,72349
Artemisia_rothrockii,86316
Artemisia_spiciformis,235357
Artemisia_spinescens,205379
Artemisia_tridentata,55611
Sphaeromeria_cana,1171839
Sphaeromeria_potentilloides,1171842
Arthrocnemum_subterminale,1151090
Aruncus_dioicus,32220
Asarum_caudatum,76083
Asarum_hartwegii,76079
Asarum_lemmonii,76080
Asarum_marmoratum,76088
Asclepias_albicans,659935
Asclepias_asperula,528274
Asclepias_californica,528278
Asclepias_cordifolia,528280
Asclepias_cryptoceras,528281
Asclepias_eriocarpa,528284
Asclepias_erosa,528285
Asclepias_fascicularis,397857
Asclepias_latifolia,528292
Asclepias_nyctaginifolia,528294
Asclepias_solanoana,660005
Asclepias_speciosa,528299
Asclepias_subulata,528300
Asclepias_vestita,660014
Aspidotis_californica,164272
Aspidotis_carlotta-halliae,414596
Aspidotis_densa,414597
Asplenium_septentrionale,169380
Asplenium_trichomanes,78464
Asplenium_vespertinum,not found
Asplenium_viride,147940
Astragalus_agrestis,20402
Astragalus_canadensis,20408
Astragalus_accidens,not found
Astragalus_acutirostris,457880
Astragalus_agnicidus,1277752
Astragalus_albens,not found
Astragalus_allochrous,90154
Astragalus_andersonii,not found
Astragalus_anxius,not found
Astragalus_argophyllus,not found
Astragalus_aridus,not found
Astragalus_asymmetricus,90160
Astragalus_atratus,not found
Astragalus_austiniae,not found
Astragalus_bernardinus,not found
Astragalus_bicristatus,not found
Astragalus_bolanderi,not found
Astragalus_brauntonii,not found
Astragalus_breweri,not found
Astragalus_californicus,not found
Astragalus_calycosus,90163
Astragalus_casei,457881
Astragalus_cimae,not found
Astragalus_claranus,not found
Astragalus_clevelandii,not found
Astragalus_coccineus,457882
Astragalus_congdonii,1277753
Astragalus_crotalariae,746889
Astragalus_curtipes,not found
Astragalus_curvicarpus,90171
Astragalus_deanei,not found
Astragalus_didymocarpus,90174
Astragalus_douglasii,90175
Astragalus_ertterae,not found
Astragalus_filipes,90179
Astragalus_funereus,not found
Astragalus_gambelianus,not found
Astragalus_geyeri,457883
Astragalus_gibbsii,not found
Astragalus_gilmanii,not found
Astragalus_hornii,not found
Astragalus_insularis,not found
Astragalus_inversus,not found
Astragalus_inyoensis,90182
Astragalus_iodanthus,not found
Astragalus_jaegerianus,374739
Astragalus_johannis-howellii,not found
Astragalus_kentrophyta,90183
Astragalus_layneae,374740
Astragalus_lemmonii,not found
Astragalus_lentiformis,not found
Astragalus_lentiginosus,20416
Astragalus_leucolobus,not found
Astragalus_macrodon,not found
Astragalus_magdalenae,not found
Astragalus_malacus,457884
Astragalus_miguelensis,not found
Astragalus_minthorniae,not found
Astragalus_mohavensis,not found
Astragalus_monoensis,90192
Astragalus_nevinii,not found
Astragalus_newberryi,457885
Astragalus_nutans,not found
Astragalus_nuttallianus,20419
Astragalus_nuttallii,90198
Astragalus_obscurus,90199
Astragalus_oocarpus,not found
Astragalus_oophorus,144134
Astragalus_oxyphysus,90201
Astragalus_pachypus,90202
Astragalus_palmeri,not found
Astragalus_panamintensis,not found
Astragalus_pauperculus,not found
Astragalus_platytropis,457886
Astragalus_pomonensis,not found
Astragalus_preussii,90211
Astragalus_pseudiodanthus,not found
Astragalus_pulsiferae,not found
Astragalus_purshii,20422
Astragalus_pycnostachyus,not found
Astragalus_rattanii,90212
Astragalus_ravenii,not found
Astragalus_sabulonum,90215
Astragalus_sepultipes,not found
Astragalus_serenoi,457887
Astragalus_shevockii,not found
Astragalus_subvestitus,not found
Astragalus_tener,90223
Astragalus_tidestromii,not found
Astragalus_traskiae,not found
Astragalus_tricarinatus,not found
Astragalus_trichopodus,540758
Astragalus_umbraticus,1277760
Astragalus_webberi,not found
Astragalus_whitneyi,not found
Astrolepis_cochisensis,414599
Athyrium_distentifolium,157494
Athyrium_filix-femina,32110
Athysanus_pusillus,457780
Athysanus_unilateralis,664140
Draba_cuneifolia,95387
Atriplex_argentea,not found
Atriplex_canescens,35922
Atriplex_confertifolia,880643
Atriplex_cordulata,not found
Atriplex_coronata,not found
Atriplex_coulteri,not found
Atriplex_depressa,not found
Atriplex_dioica,not found
Atriplex_elegans,not found
Atriplex_fruticulosa,not found
Atriplex_gardneri,880652
Atriplex_gmelinii,118074
Atriplex_hymenelytra,880656
Atriplex_lentiformis,89475
Atriplex_leucophylla,880669
Atriplex_minuscula,not found
Atriplex_pacifica,not found
Atriplex_parishii,880679
Atriplex_parryi,880680
Atriplex_patula,3551
Atriplex_persistens,not found
Atriplex_polycarpa,880684
Atriplex_pusilla,not found
Atriplex_serenana,880693
Atriplex_spinifera,not found
Atriplex_subtilis,not found
Atriplex_torreyi,595354
Atriplex_truncata,270128
Atriplex_tularensis,not found
Atriplex_watsonii,912162
Ayenia_compacta,not found
Azolla_filiculoides,84609
Azolla_microphylla,336972
Baccharis_brachyphylla,not found
Baccharis_glutinosa,not found
Baccharis_malibuensis,not found
Baccharis_pilularis,not found
Baccharis_plummerae,not found
Baccharis_salicifolia,427666
Baccharis_salicina,not found
Baccharis_sarothroides,not found
Baccharis_sergiloides,not found
Baccharis_vanessae,not found
Bacopa_eisenii,450936
Bahia_neomexicana,not found
Bahiopsis_laciniata,191145
Bahiopsis_parishii,191148
Bahiopsis_reticulata,191149
Baileya_pauciradiata,128806
Baileya_multiradiata,128805
Baileya_pleniradiata,128807
Barbarea_orthoceras,669636
Batis_maritima,4436
