taxon,18S,atpB,ndhF,
Apocynum_androsaemifolium,,AF209529.1,,
Apocynum_cannabinum,,HQ384762.1,HQ384846.1,
Aquilegia_pubescens,,,,
Aquilegia_eximia,,,,
Aquilegia_formosa,,,,
Aquilegia_shockleyi,,,,
Arabis_blepharophylla,,,,
Arabis_eschscholtziana,,,,
Arabis_mcdonaldiana,,,,
Arabis_modesta,,,,
Arabis_oregana,,,,
Arabis_pycnocarpa,,,,
Aralia_californica,,,AY171069.1,
Arbutus_menziesii,,,,
Arceuthobium_americanum,,,,
Arceuthobium_campylopodum,,,,
Arceuthobium_douglasii,,,,
Arctomecon_merriamii,,,,
Arctostaphylos_andersonii,,,,
Arctostaphylos_auriculata,,,,
Arctostaphylos_bakeri,,,,
Arctostaphylos_canescens,,,,
Arctostaphylos_catalinae,,,,
Arctostaphylos_columbiana,,,,
Arctostaphylos_confertiflora,,,,
Arctostaphylos_crustacea,,,,
Arctostaphylos_cruzensis,,,,
Arctostaphylos_densiflora,,,,
Arctostaphylos_edmundsii,,,,
Arctostaphylos_franciscana,,,,
Arctostaphylos_gabilanensis,,,,
Arctostaphylos_glandulosa,,,,
Arctostaphylos_glauca,,,,
Arctostaphylos_glutinosa,,,,
Arctostaphylos_hispidula,,,,
Arctostaphylos_hookeri,,,,
Arctostaphylos_hooveri,,,,
Arctostaphylos_imbricata,,,,
Arctostaphylos_insularis,,,,
Arctostaphylos_klamathensis,,,,
Arctostaphylos_luciana,,,,
Arctostaphylos_malloryi,,,,
Arctostaphylos_manzanita,,,,
Arctostaphylos_mewukka,,,,
Arctostaphylos_montana,,,,
Arctostaphylos_montaraensis,,,,
Arctostaphylos_montereyensis,,,,
Arctostaphylos_morroensis,,,,
Arctostaphylos_myrtifolia,,,,
Arctostaphylos_nevadensis,,,,
Arctostaphylos_nissenana,,,,
Arctostaphylos_nortensis,,,,
Arctostaphylos_nummularia,,,,
Arctostaphylos_obispoensis,,,,
Arctostaphylos_ohloneana,,,,
Arctostaphylos_osoensis,,,,
Arctostaphylos_otayensis,,,,
Arctostaphylos_pacifica,,,,
Arctostaphylos_pajaroensis,,,,
Arctostaphylos_pallida,,,,
Arctostaphylos_parryana,,,,
Arctostaphylos_patula,,,,
Arctostaphylos_pechoensis,,,,
Arctostaphylos_pilosula,,,,
Arctostaphylos_pringlei,,,,
Arctostaphylos_pumila,,,,
Arctostaphylos_pungens,,,,
Arctostaphylos_purissima,,,,
Arctostaphylos_rainbowensis,,,,
Arctostaphylos_refugioensis,,,,
Arctostaphylos_regismontana,,,,
Arctostaphylos_rudis,,,,
Arctostaphylos_sensitiva,,,,
Arctostaphylos_silvicola,,,,
Arctostaphylos_stanfordiana,,,,
Arctostaphylos_tomentosa,,,,
Arctostaphylos_uva-ursi,L49272.1,AJ236225.1,AJ236248.1,
Arctostaphylos_virgata,,,,
Arctostaphylos_viridissima,,,,
Arctostaphylos_viscida,,,,
Arenaria_lanuginosa,,,,
Arenaria_paludicola,,,,
Argemone_corymbosa,,,,
Argemone_munita,,,,
Argyrochosma_jonesii,,,,
Argyrochosma_limitanea,,EF452019.1,,
Aristida_adscensionis,,EF422970.1,HE573459.1,
Aristida_californica,,,HE573460.1,
Aristida_divaricata,,,,
Aristida_oligantha,,,HE573466.1,
Aristida_purpurea,,,U21966.1,
Aristida_ternipes,,,FR821352.1,
Aristolochia_californica,,,,
Armeria_maritima,,,,
Arnica_cernua,,,,
Arnica_chamissonis,,,,
Arnica_cordifolia,,,,
Arnica_dealbata,,,AF384802.3,
Arnica_discoidea,,,,
Arnica_fulgens,,,,
Arnica_lanceolata,,,,
Arnica_latifolia,,,,
Arnica_longifolia,,,,
Arnica_mollis,,,AF384695.3,
Arnica_nevadensis,,,,
Arnica_ovata,,,,
Arnica_parryi,,,,
Arnica_sororia,,,,
Arnica_spathulata,,,,
Arnica_venosa,,,,
Arnica_viscosa,,,,
Artemisia_norvegica,,,,
Artemisia_douglasiana,,,,
Artemisia_ludoviciana,,,,
Artemisia_michauxiana,,,,
Artemisia_palmeri,,,,
Artemisia_suksdorfii,,,,
Artemisia_borealis,,,,
Artemisia_dracunculus,,,,
Artemisia_pycnocephala,,,,
Artemisia_arbuscula,,,,
Artemisia_bigelovii,,,,
Artemisia_californica,,,,
Artemisia_cana,,,,
Artemisia_nesiotica,,,,
Artemisia_nova,,,,
Artemisia_rothrockii,,,,
Artemisia_spiciformis,,,,
Artemisia_spinescens,,,,
Artemisia_tridentata,,,AF153630.1,
Sphaeromeria_cana,,,,
Sphaeromeria_potentilloides,,,,
Arthrocnemum_subterminale,,,,
Aruncus_dioicus,,,KF154856.1,
Asarum_caudatum,,,,
Asarum_hartwegii,,,,
Asarum_lemmonii,,,,
Asarum_marmoratum,,,,
Asclepias_albicans,,,,
Asclepias_asperula,,,,
Asclepias_californica,,,,
Asclepias_cordifolia,,,,
Asclepias_cryptoceras,,,,
Asclepias_eriocarpa,,,,
Asclepias_erosa,,,,
Asclepias_fascicularis,,,,
Asclepias_latifolia,,,,
Asclepias_nyctaginifolia,,,,
Asclepias_solanoana,,,,
Asclepias_speciosa,,,,
Asclepias_subulata,,,,
Asclepias_vestita,,,,
Aspidotis_californica,,,,
Aspidotis_carlotta-halliae,,,,
Aspidotis_densa,,,,
Asplenium_septentrionale,,JF832152.1,,
Asplenium_trichomanes,,EF463349.1,,
Asplenium_vespertinum,,,,
Asplenium_viride,,EU352267.1,EU349588.1,
Astragalus_agrestis,,,,
Astragalus_canadensis,,,,
Astragalus_accidens,,,,
Astragalus_acutirostris,,,,
Astragalus_agnicidus,,,,
Astragalus_albens,,,,
Astragalus_allochrous,,,,
Astragalus_andersonii,,,,
Astragalus_anxius,,,,
Astragalus_argophyllus,,,,
Astragalus_aridus,,,,
Astragalus_asymmetricus,,,,
Astragalus_atratus,,,,
Astragalus_austiniae,,,,
Astragalus_bernardinus,,,,
Astragalus_bicristatus,,,,
Astragalus_bolanderi,,,,
Astragalus_brauntonii,,,,
Astragalus_breweri,,,,
Astragalus_californicus,,,,
Astragalus_calycosus,,,,
Astragalus_casei,,,,
Astragalus_cimae,,,,
Astragalus_claranus,,,,
Astragalus_clevelandii,,,,
Astragalus_coccineus,,,,
Astragalus_congdonii,,,,
Astragalus_crotalariae,,,,
Astragalus_curtipes,,,,
Astragalus_curvicarpus,,,,
Astragalus_deanei,,,,
Astragalus_didymocarpus,,,,
Astragalus_douglasii,,,,
Astragalus_ertterae,,,,
Astragalus_filipes,,,,
Astragalus_funereus,,,,
Astragalus_gambelianus,,,,
Astragalus_geyeri,,,,
Astragalus_gibbsii,,,,
Astragalus_gilmanii,,,,
Astragalus_hornii,,,,
Astragalus_insularis,,,,
Astragalus_inversus,,,,
Astragalus_inyoensis,,,,
Astragalus_iodanthus,,,,
Astragalus_jaegerianus,,,,
Astragalus_johannis-howellii,,,,
Astragalus_kentrophyta,,,,
Astragalus_layneae,,,,
Astragalus_lemmonii,,,,
Astragalus_lentiformis,,,,
Astragalus_lentiginosus,,,,
