taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Adansonia,JN400311.1,HQ696687.1,,AF111720.1,GU981721.1,JN400310.1,,GU981688.1,
Adectum,,,,,,,,,
Adelanthus,GQ899970.1,,,,GQ900319.1,DQ026614.1,,KF852057.1,
Adelia,,,,,,,,,
Adelobotrys,AY460446.1,,,EU055898.1,AF215531.2,AF257745.1,,,
Adelocaryum,,,,,,,,,
Adelocolia,,,,,,,,,
Adelostemma,,,,,,,,,
Adelostigma,,,,LN607597.1,,,,,
Adelothecium,EF680784.1,,,,AB103354.1,EF657182.1,,,
Adelphia,,KM197220.1,,KM197311.1,KJ594347.1,,,,
Adenandra,,KP109975.1,,,AF066803.1,JX307298.1,,AF066832.1,
Adenanthellum,AM774445.1,,,,,,,,
Adenanthera,KP092694.1,AF521808.1,,,GQ436377.1,AF278486.1,,,
Adenanthos,AF508821.1,EU169606.1,,,U79165.1,KM659649.1,X66774.1,AF060404.1,
Adenarake,,KF263231.1,,,KF263345.1,KF263419.1,,,
Adenaria,KF471185.1,GU228431.1,,KU761921.1,AY905403.1,AY905451.1,,,
Adenia,DQ521371.1,AF344523.1,,JX679725.1,Z75687.1,AY632724.1,AB536656.1,AB536578.1,
Adenium,KF850555.1,DQ660494.1,,,AJ002880.1,EF456152.1,,,
Adenoa,JQ723349.1,,,,,JQ723376.1,,,
Adenocalymma,,KJ593762.1,,DQ222529.1,KJ594093.1,FJ870011.1,,,
Adenocarpus,JQ858256.1,JQ858229.1,,,Z95545.1,FJ839587.1,,,
Adenocaulon,FJ979674.1,EU385319.1,,EU385129.1,EU384943.1,EU385035.1,,,
Adenochilus,GQ866473.1,AJ309995.1,,,KT626662.1,AJ409375.1,,,
Adenochlaena,,,,,,,,,
Adenocline,,AB233770.1,,,AY794870.1,AY794669.1,AB233562.1,AB233666.1,
Adenocritonia,,,,,,,,,
Adenoderris,,,,,,,,,
Adenodolichos,,,,,AF308700.1,,,,
Adenoglossa,AM774446.2,,,,,,,,
Adenogramma,,FN825690.1,,,FN824410.1,,,,
Adenolisianthus,EU709784.1,,,,,,,,
Adenolobus,,EU361844.1,,,AM234268.1,FJ801158.1,,,
Adenoncos,DQ091688.1,AB217703.1,,,,,,,
Adenoon,,,,,,,,,
Adenopappus,KC800436.1,,,AF405252.1,,,,,
Adenopeltis,,AB268058.1,,,AY794844.1,AY794633.1,AB268110.1,AB268006.1,
Adenophaedra,,,,,AY794930.1,AY794758.1,,,
Adenophora,KM051442.1,KF175302.1,,,KF175362.1,HQ704675.1,,KC146465.1,
Adenophorus,,,,,AY057382.1,AF469796.1,,AF469783.1,
Adenophyllum,AF413610.1,,,AF405279.1,,,,,
Adenopodia,,JX517808.1,,,JX572245.1,,,,
Adenorandia,,,,,,,,,
Adenosciadium,,,,,,,,,
Adenosma,KC896716.1,,,,JQ933207.1,,,,
Adenostemma,JX564696.1,KJ637185.1,,KP454889.1,JQ933208.1,,,,
Adenostoma,DQ886358.1,AF288093.1,,,U06790.1,AF348535.1,DQ886363.1,,
Adenostyles,KC784514.1,KU672851.1,,GU817826.1,,GU817966.1,,,
Adenothamnus,,,,,,,,,
Adesmia,,,,,,,KJ003618.1,,
Adhatoda,,,,,,,,,
Adiantopsis,,,,,JN709768.1,,,EF452010.1,
Adiantum,L41579.1,KJ605604.1,,,KU147278.1,JF980697.1,X78889.1,JF935448.1,
Adina,KC737621.1,GQ434176.1,,KC737695.2,KC737729.1,,,,
