taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Galiniera,,,,KF965064.1,KF964835.1,,,,
Galinsoga,FJ696962.1,AY215801.1,,AF384727.3,GU817762.1,JQ041840.1,,KJ434425.1,
Galipea,KC502923.1,JQ589075.1,,,JQ593921.1,KP866595.1,,,
Galitzkya,KF022658.1,,,KF022983.1,,FN677635.1,,,
Galium,AF419182.1,KM660516.1,DQ110340.1,KT176860.1,KM980628.1,KP098173.1,KT179717.1,KT176272.1,
Gallardoa,,AF344544.1,,AF351035.1,AF344474.1,,,,
Gallesia,JX232590.1,AY042590.1,,,,,,,
Gallienia,,,,KF965065.1,KF964728.1,,,,
Galopina,AF257918.1,,,,AJ288602.1,,,,
Galphimia,,AF344545.1,AF520187.1,AF351015.1,AF344475.1,,AF206917.1,AB233696.1,
Galpinia,AY905423.1,GU228437.1,,KU761924.1,AY905409.1,AY905461.1,,,
Galtonia,,,,,,,,,
Galvezia,AY492104.1,AY492140.1,,AJ250383.1,,AY492177.1,,,
Gamanthera,,,,,,,,,
Gamanthus,EF453409.1,,,,,,,,
Gambelia,KC782759.1,EU718054.1,,AJ250384.1,,,,,
Gamblea,AF242228.1,,,JX106033.1,JQ933339.1,AY393726.1,,,
Gammiella,,,,,AB970710.1,LC059946.1,,,
Gamocarpha,JN874694.1,KF989829.1,,KM192104.1,KM192093.1,KF989610.1,,KM192005.1,
Gamochaeta,FN645834.1,HM445596.1,,EU385162.1,EU384977.1,FN645793.1,,KT345001.1,
Gamochaetopsis,KM091390.1,,,,,KM091417.1,,,
Ganguelia,,,,,,,,,
Ganguleea,,,,,,,,,
Ganophyllum,EU720467.1,AY724295.1,,,AY724353.1,EU721423.1,,GU816993.1,
Gaoligongshania,AY004761.1,,,,KF796727.1,EF137531.1,,,
Garberia,HQ416296.1,HQ416283.1,,HQ416196.1,HQ416172.1,,,,
Garcia,,JQ587457.1,,,AY794890.1,AY794714.1,,,
Garciadelia,GU000014.1,LK021443.1,,,,HG971881.1,,,
Garcibarrigoa,EF538211.1,GU817462.1,,GU817861.1,,GU817940.1,,,
Garcilassa,,,,,,,,,
Garcinia,LC010539.1,KU519698.1,FJ670360.1,JX662752.1,JQ626234.1,KF953915.1,,JX663804.1,
Garckea,,,,,,,,,
Gardenia,KP092802.1,KJ136881.1,,AJ235844.1,KT218725.1,AF102426.2,,,
Gardeniopsis,,,,,,,,,
Gardneria,JF937930.1,HG004973.1,,AJ235834.1,AJ235819.1,AF102427.2,,,
Gardnerina,KP454356.1,,,KP454934.1,,,,,
Garhadiolus,EU436693.1,,,,,,,,
Garnieria,,,,,,,,,
Garnotia,GQ870159.1,HE575876.1,,HE575794.1,HE575843.1,GQ869934.1,,,
Garovaglia,HQ443748.1,,,,DQ196085.1,DQ296028.1,,,
Garrettia,,,,,,HQ911718.1,,,
Garrya,JN234752.1,AJ429319.1,AY453095.1,AF147714.1,KT740821.1,JN234731.1,HQ384683.1,AJ235479.2,
Garuga,KR532173.1,KR530882.1,,,GU246039.1,KM516827.1,,GU246074.1,
Garuleum,KR611331.1,,,,AM234872.1,KR611333.1,,,
Gasteranthus,EF445714.1,JX195997.1,,AF176629.1,,EF445763.1,,,
Gasteria,KJ557936.1,JX903603.1,,JX903429.1,JX903195.1,JX630319.1,,JX903846.1,
Gasterogrimmia,,,,,,,,,
Gastridium,DQ336817.1,FN908056.1,,DQ786842.1,FN870392.1,DQ336837.1,,DQ780988.1,
Gastrocalyx,,,,,,,,,
Gastrochilus,DQ091685.1,KJ733576.1,,,JQ933340.1,KJ733650.1,,,
Gastrocotyle,AF531086.1,,,,,,,,
Gastrodia,EU135906.1,KF695164.1,,,JQ933341.1,,,,
Gastrolepis,,,,,,,,,
Gastrolobium,AF518119.1,AY386885.1,,AY883271.1,,AF518161.1,,,
Gastrolychnis,,,,,,,,,
Gastrorchis,AB239265.1,EF079305.1,,,,,,,
Gatyona,,,,,,,,,
Gaudichaudia,,,,,,,,,
Gaudinia,DQ539600.1,FN908057.1,,DQ786844.1,HM850023.1,DQ631478.1,,DQ780990.1,
Gaultheria,,KJ922004.1,,JF801449.1,KM360799.1,JF801722.1,,,
Gaura,,,,,,,,,
Gaussia,,,,,,,GQ325591.1,,
Gavilea,JQ045520.1,FR832095.1,,,FR831992.1,AJ409411.1,,,
Gaya,AY591825.1,FJ204706.1,,FJ204748.1,,,,,
Gaylussacia,FJ985221.1,AF382763.1,,AF419726.1,KJ773535.1,AF271708.1,,,
Gayophytum,GU176538.1,,,AF495788.1,KF724283.1,AY264527.1,,,
Gazania,DQ444718.1,AF456790.1,,L39423.1,AB530967.1,AY504802.1,,,
Gearum,,AM920585.1,,,AM905763.1,EF173579.1,,,
Geesinkorchis,AF302733.1,AF302698.1,,,,,,,
Geigeria,U84774.1,,,LN607644.1,,,,,
Geijera,,KM894699.1,,,JN987107.1,,,JN987025.1,
Geissanthus,,,,,AF213810.1,,,,
Geissaspis,,AF272064.1,,,JQ933342.1,,,,
Geissois,AF521298.1,,,,JX236030.1,KF594402.1,,,
Geissolepis,DQ478972.1,,,,,,,,
Geissoloma,,HQ680697.1,,,X83990.1,,,HQ680710.1,
Geissomeria,DQ028465.1,,,,,DQ054904.1,,,
Geissorhiza,,AJ579953.1,,JX903466.1,AJ309676.1,AJ409589.1,,JX903883.1,
Geissospermum,,DQ660517.1,,,JQ625891.1,AF214205.1,,,
Geitonoplesium,,KM894451.1,,AY191174.1,AY298833.1,AF117055.1,X63303.1,,
Gelasia,,,,,,,,,
Gelasine,JQ230334.1,JQ670457.1,,,JQ670534.1,AJ409587.1,,,
Geleznowia,,,,,JN987110.1,,,JN987027.1,
Gelidocalamus,EU847130.1,,,,KF796728.1,,,,
Gelonium,,,,,,,,,
Gelsemium,KF022348.1,HQ384556.1,HQ384790.1,AF130170.1,HQ384909.1,AM295096.1,AJ236025.1,AJ236193.1,
Gemmabryum,,,,,,,,,
Genianthus,,,,,,,,,
Geniostemon,,AJ388161.1,,,,AY251766.1,,,
Geniostoma,JF950769.1,Z70194.1,,AJ235835.1,Z68828.1,AM295097.1,GU476426.1,,
Genipa,,KJ136882.1,,KF965067.1,Z68839.1,AF152665.1,,,
Genista,KT987501.1,KT987758.1,,,KT987924.1,KT987695.1,,,
Genistidium,AF537357.1,AF543858.1,,,,,,,
Genlisea,AB212114.1,FN641703.1,,JN686616.1,AY128631.1,AF482615.1,,,
Gennaria,AY351380.1,AY368383.1,,,AY368341.1,,,,
Genoplesium,AF391783.1,AJ310031.1,,,AY368345.1,AJ409414.1,,,
Gentiana,KT964515.1,KU673917.1,KC535825.1,L36400.1,KU512541.1,KT218918.1,,,
Gentianella,KR082783.1,KC474863.1,KC535827.1,,KF997490.1,AJ580548.1,KC535937.1,,
Gentianopsis,JN591349.1,JN591345.1,,,KM360802.1,KF564006.1,,,
Gentianothamnus,AJ489914.1,,,,FJ014056.1,,,,
Gentingia,KJ804869.1,,,KJ805068.1,KJ804472.1,,,,
Genyorchis,,,,,,,,,
Geoblasta,,,,,,,,,
Geocalyx,,,,,KF943584.1,KJ802067.1,,DQ787455.1,
Geocarpon,,,,,,,,,
Geocaryum,AH008923.2,,,,,,,,
Geocaulon,JN999241.1,EF584620.1,,,EF584595.1,,AF039072.1,,
Geocharis,,,,,,,KU978701.1,,
Geochloa,DQ887169.1,EU400744.1,,EU400796.1,DQ887113.1,EU401212.1,,,
Geochorda,,,,,,,,,
Geococcus,GQ424571.1,,,,,,,,
Geodorum,JN114512.1,KF673833.1,,,FN870826.1,KF650564.1,,,
Geoffroea,EU735854.1,AF270880.1,,,,EU234509.1,,,
Geogenanthus,,,,AY624119.1,AF312261.1,KC512056.1,,,
Geohintonia,,FN997326.1,,,KC787557.1,HM041280.1,,,
Geomitra,,,,,AF307488.1,,AF309405.1,AF308033.1,
Geonoma,,AM114655.1,,AY044539.1,AY044623.1,AJ241315.1,AF406631.1,AY044460.1,
Geophila,JX155079.1,,,KJ805072.1,Z68798.1,KT218919.1,,,
Georgeantha,,DQ257531.2,,EU832889.1,HQ182429.1,AF148733.1,,HQ180459.1,
Georgia,,,,,,,,,
Geosiris,,AJ579955.1,,,Z77285.1,AJ409616.1,EU816707.1,,
Geostachys,AY769843.1,,,,,AY769806.1,,,
Geothallus,,,,,KJ590912.1,,,KJ590851.1,
Geraea,DQ383884.1,,,L39381.1,,,,,
Geranium,KX167627.1,KU672993.1,KP962856.1,EU922321.1,KP963390.1,KF696507.1,,KJ916278.1,
Gerardia,,,,,,,,,
Gerardiina,,,,,,,,,
Gerbera,GU818551.1,KF989838.1,,EU385163.1,GU817763.1,KF989616.1,AF107576.1,AJ236200.1,
Gereaua,,,,,,,,,
Gerhildiella,,,,,,,,,
Germainia,GQ870199.1,HE574425.1,,HE573543.1,HE573317.1,GQ869979.1,,,
Geropogon,AY508213.1,,,,,,,,
Gerrardanthus,HQ201976.1,GQ163343.1,,,DQ535805.1,GQ163220.1,,,
Gerrardina,,FM179924.1,,AY757130.1,AY757086.1,FM179535.1,,AY757085.1,
Gerritea,,HE574070.1,,JN604688.1,HE573384.1,,,,
Gertrudia,,,,,,,,,
Gertrudiella,,,,,,JN968433.1,,,
Gesneria,,,,,,,,,
Gesnouinia,KF137862.1,KF138000.1,,,KF138172.1,DQ179372.1,,,
Gethyllis,HM140801.1,JX464553.1,,AY434491.1,JX903151.1,JX464365.1,,JX903758.1,
Getonia,,,,,,,,,
Geum,KC004039.1,JN894110.1,DQ110342.1,,KM360804.1,GQ384713.1,,AJ235480.2,
Gevuina,EU642787.1,EU642694.1,,EU642663.1,U79169.1,,,EU642724.1,
Ghikaea,,,,,,,,,
Gibasis,,FR832769.1,,AY624127.1,AF312250.1,KC512066.1,,,
Gibasoides,,,,,FN870827.1,,,,
Gibbaeum,KJ848156.1,KF132692.1,,,KF132564.1,KF132810.1,,,
Gibbaria,,,,,AM234873.1,,,,
Gibbsia,,,,,,,,,
Gibsoniothamnus,,,,,,,,,
Gigantochloa,JX139104.1,KF364977.1,,KF365023.1,KF796733.1,EF137532.1,,,
Gigasiphon,,EU361953.1,,,JF738566.1,FJ801108.1,,,
Gigaspermum,JN089178.1,LN828309.1,,,AF231064.1,JN088952.1,AF223021.1,,
Gilberta,JX564725.1,AF151464.1,,,,JX564665.1,,,
Gilbertiella,,,,,,,,,
Gilbertiodendron,KJ777273.1,EU361955.1,,,KC628526.1,KJ777357.1,,,
Gilesia,,,,,,,,,
Gilgiochloa,,KC123407.1,,,KC123365.1,,,,
Gilia,,,,,,,DQ080013.1,,
Giliastrum,KJ159407.1,EU628534.1,,AF207974.1,,EU628490.1,,,
Gillbeea,,,,,AF291927.1,AF299222.1,,,
Gillespiea,,,,,,,,,
Gilletiodendron,AY955809.1,EU361957.1,,,,AF549270.1,,,
Gilliesia,HQ393006.1,JQ276392.1,,JQ276780.1,JQ273897.1,AF117045.1,JQ283927.1,JQ273602.1,
Gilmania,GQ206250.1,EF438010.1,,EF438049.1,,JQ352672.1,,,
Gilruthia,JX564726.1,AF151465.1,,,,JX564666.1,,,
Ginalloa,,EF584637.1,,,L26070.1,,L24144.1,,
Gingidia,U72366.1,,,,KT007192.1,,,,
Ginkgo,Y16892.1,JQ512416.1,AF197722.1,EU016965.1,JQ512540.1,FJ490791.1,FR695707.1,DQ069344.1,
Ginoria,AY078419.1,KJ012609.1,,,GU075890.1,AY905462.1,,,
Giraldiella,FM161104.1,,,,AB091270.1,,,,
Girardinia,KF137863.1,KF138006.1,KF138095.1,,KC284981.1,KF138338.1,KF137763.1,,
Girgensohnia,EF453414.1,DQ499405.1,,HM630050.1,AY270087.1,,,,
Gironniera,KP093083.1,AF345319.1,,,AF500340.1,JN040375.1,,,
Gisekia,KF944418.1,KF995424.1,,HQ843269.1,KF924309.1,HE585086.1,,,
Githopsis,AY322056.1,EU713310.1,,,EU713420.1,,,EU437647.1,
Givotia,,,,,AY794891.1,AY794715.1,,,
Gjellerupia,,,,,,,,,
Gladiolus,KP027327.1,AY596622.1,,HM574395.1,AF206772.1,KM887319.1,,JX903884.1,
Gladiopappus,,,,,,,,,
Glandonia,,AF344548.1,,AF351072.1,AF344478.1,,,,
Glandora,FJ763245.1,EU599682.1,,EU599771.1,KM360859.1,FJ763299.1,,AJ504826.1,
Glandularia,FJ867438.1,AF315302.1,,HM216728.1,KJ773538.1,,,,
Glaphyropteridopsis,,,,,JN572344.1,AF425132.1,,,
Glastaria,,,,,,,,,
Glaucidium,,,,,,,,,
Glaucium,HQ993100.1,KM364809.1,,,KM360805.1,,,U86391.2,
Glaucocarpum,,,,,,,,,
Glaucosciadium,KJ660839.1,,,,,,,,
Glaziophyton,,,,KC020499.1,,,,,
Gleadovia,,,,,,,,,
Gleasonia,,,,,,AF152682.1,,,
Glebionis,EF577292.1,JN896039.1,,EU334465.1,KM360717.1,JN315915.1,,KX401376.1,
Glechoma,JQ669099.1,AY840143.1,,U78691.1,L14292.1,AY570455.1,,,
Glechon,DQ667303.1,,,,,DQ667496.1,,,
Gleditsia,AF510029.1,AY386930.2,,AF020485.1,Z70129.1,AF430775.1,,,
Glehnia,KP159316.1,,,,,,,,
Gleichenella,,,,,,,,,
Gleichenia,,,,,AF313584.1,AY651838.1,AF313572.1,GU950639.1,
Glekia,,,,AJ401422.1,,,,,
Glenniea,JN190995.1,EU720653.1,,,JX572627.1,JN191038.1,,,
Glia,DQ368846.1,,,,,HQ829363.1,,,
Glinus,,FN825696.1,,,FN824418.1,,,,
Glionnetia,,LN680357.1,,,,HM536236.1,,,
Gliricidia,AF398816.1,AF547199.1,,,KF381127.1,,,,
Glischrocaryon,EF178779.1,EF179053.1,,,,,,,
Glischrocolla,AM235863.1,AY151581.1,,AM235397.1,AM235630.1,,AM235498.1,,
Glischrothamnus,,FN825699.1,,,FN824419.1,,,,
Globba,AF478770.1,AF478870.1,,AY125001.1,AF243847.1,AY769779.1,AF168846.1,AF168913.1,
Globimetula,,EU544429.1,,,,EU544489.1,AF039076.1,,
Globularia,KP279412.1,AY667473.1,HQ593745.1,AF027282.1,AF124558.1,AF513358.1,,AJ235482.2,
Globulariopsis,,,,,,,,,
Globulina,,,,,,,,,
Globulinella,,,,,,,,,
Glochidion,KC004040.1,HQ427285.1,,FJ235448.1,KR529380.1,KC428525.1,,AY830212.1,
Glochidotheca,AF077123.1,,,,,,,,
Gloeocarpus,JF912446.1,,,,,,,,
Gloeospermum,,AB354486.1,,,AB354414.1,KC699645.1,AB354520.1,AB354450.1,
Glomera,,,,,,,,,
Glomeropitcairnia,,AY614030.1,,L75864.1,AY614395.1,AY614273.1,AF168847.1,AF168914.1,
Gloriosa,KP420416.1,JN417402.1,KC899529.1,EU044626.1,KC796872.1,AJ551359.1,KP420421.1,KC796820.1,
Glossadelphus,AY999169.1,,,,AB332280.1,DQ019931.1,,,
Glossarion,,,,,,,,,
Glossocalyx,AF289845.1,KC627937.1,,,AF040666.1,AF012405.1,,,
Glossocardia,JX564727.1,JX564839.1,,,,JX564667.1,,,
Glossocarya,,KM894799.1,,,KF496706.1,,,,
Glossochilus,,,,,,,,,
Glossodia,GQ866508.1,AJ310033.1,,,AF074173.1,GQ866826.1,,,
Glossogyne,AY429090.1,,,,,,,,
Glossoloma,AH009428.2,JX196002.1,,U62158.2,,JX195762.1,,,
Glossonema,KF815494.1,,,,HG530559.1,AJ428806.1,,,
Glossopappus,L77760.1,,,AF153639.1,,,,,
Glossopetalon,,HQ680695.1,,,AY101845.1,,,HQ680708.1,
Glossophyllum,,,,,,,,,
Glossostelma,AM396903.1,,,,,AY163686.1,,,
Glossostemon,,,,AF287922.1,,,,,
Glossostigma,DQ371419.1,,,,JQ933345.1,AY943147.1,,,
Glossostipula,AF183794.1,,,KF965068.1,Z68846.1,AF201047.1,,,
Glottidium,,,,,,,,,
Glottiphyllum,AJ577762.1,KF132694.1,,,KF132566.1,KF132811.1,,,
Gloxinella,AY702361.1,JX196000.1,,,,AY702405.1,,,
Gloxinia,AH009467.2,JX196005.1,,AF040143.1,AJ439983.1,AY047132.1,,,
Gloxiniopsis,AY702364.1,JX195999.1,,,,GQ383549.1,,,
Gluema,,,,,,,,,
Glumicalyx,AJ584813.1,,,AJ401413.1,,AY712654.1,,,
Gluta,,AY594468.1,,,AB925795.1,AY594516.1,,,
Glyceria,KJ912927.1,KC123408.1,,KJ913008.1,HM850033.1,EF137603.1,,,
Glycine,JX546295.1,GU594697.1,,,U74197.1,AF518127.1,,,
Glycinopsis,,,,,,,,,
Glycosmis,JX144205.1,KU519687.1,,,KR529391.1,FN599496.1,,EF118878.1,
Glycydendron,,AB268046.1,,,AY794876.1,AY794681.1,AB268098.1,AB267994.1,
Glycyrrhiza,KR082762.1,AF142730.1,KT458977.1,,AB045804.1,KP338268.1,KT459191.1,,
Glycyrrhizopsis,,,,,,,,,
Glyphaea,,JX517593.1,,AF111767.1,JX572629.1,,,,
Glyphocarpa,,,,,,,,,
Glyphocarpus,,,,,,,,,
Glyphochloa,KT387613.1,,,,KT387664.1,KT387632.1,,,
Glyphomitrium,,,,,AB125586.1,EU246911.1,,,
Glyphotaenium,,,,,,,,,
Glyphothecium,KC995169.1,,,,AY631183.1,DQ194220.1,,,
Glyptopetalum,HQ393705.1,HQ393844.1,,,,JQ424313.1,,,
Glyptopleura,AY218994.1,,,,,,,,
Glyptostrobus,KT001116.1,AB030118.1,,,L25750.2,AY727217.1,EF053177.1,,
Glyptothecium,KC995169.1,,,,AY631183.1,DQ194220.1,,,
Gmelina,,,,,,,KF478625.1,,
Gnaphalium,FN645823.1,HM445642.1,,HM445683.1,KM360808.1,FN645789.1,,,
Gnephosis,JX564728.1,JX564826.1,,,,JX564668.1,,,
Gnetum,KP256676.1,KP256716.1,KM672387.1,,KP256753.1,,,AB715149.1,
Gnidia,AJ744927.1,KP110073.1,,,AM162523.1,,,,
Gnomophalium,,,,,,,,,
Gochnatia,KF989574.1,KF989869.1,,EU385166.1,EU384979.1,KF989688.1,,KM192006.1,
Godmania,,JQ587016.1,,EF105010.1,JQ590817.1,EF105068.1,,,
Godoya,KF263174.1,KF263236.1,,KF263301.1,KF263352.1,KF263425.1,,,
Goebeliella,,,,,EF545274.1,EF545367.1,,GQ497603.1,
Goebelobryum,,,,,JF513466.1,,,DQ787458.1,
Goerkemia,,,,,,,,,
Goethalsia,,,,,,,,,
Goetzea,AY206736.1,KP756846.1,,AY206746.1,AF035738.1,HQ412971.1,,HQ384772.1,
Goldbachia,KJ623490.1,JF926643.1,,DQ288771.1,,KJ623442.1,,,
Goldmanella,AY429091.1,,,,,,,,
Gollania,FM161108.1,,,,AB332249.1,,,,
Gomesa,FJ565624.1,FJ565151.1,,,FJ534252.1,AF350712.1,JX912779.1,,
Gomidesia,AM234112.1,AM489989.1,,HM160098.1,KF981252.1,,,,
Gomortega,AF289846.1,,,,AF206773.1,AF012404.1,D89562.1,D89560.1,
Gomphandra,KR532199.1,GQ983651.1,,GQ983663.1,AJ402954.1,,,GQ983598.1,
Gomphia,,,,,,,,,
Gomphichis,AJ539513.1,AJ543941.1,,,FJ571327.1,AM412729.1,,FJ571175.1,
Gomphocalyx,,,,,EU542940.1,EU567466.1,,,
Gomphocarpus,AM396872.1,KP110074.1,AF520144.1,,AM234835.1,AY163687.1,,,
Gomphogyne,EF621663.1,EU436406.1,,,EU436382.1,EU436354.1,,,
Gompholobium,AF287659.1,AY386891.1,,,,AF518129.1,,,
Gomphostemma,KP092828.1,KR608423.1,,,AF501986.1,KR608675.1,,,
Gomphostigma,,,,AF027279.1,AM235138.1,AF380843.1,,,
Gomphrena,AY171565.1,AY514801.1,,,AY270090.1,EF688766.1,,,
Gonatogyne,,AY552429.1,,AY830316.1,AJ418815.1,,,AY830213.1,
Gonatopus,,,,,,,,,
Gonatostylis,FJ473325.1,AJ310034.1,,,FJ571328.1,AJ409416.1,,FJ571176.1,
Gongora,JF692030.1,EF079251.1,,,AY368358.1,AF239578.1,,,
Gongrodiscus,JN681316.1,EU720689.1,,,,JN681555.1,,,
Gongronema,,,,,,AJ431748.1,,,
Gongronia,,,,,,,,,
Gongrospermum,,,,,,,,,
Gongrostylus,,,,,,,,,
Gongrothamnus,,,,,,,,,
Gongylanthus,,,,,AM392303.1,,,KF852031.1,
Gongylocarpus,AY271527.1,,,AF495783.1,,AY264504.1,,,
Gongylolepis,KF989516.1,KF989844.1,,EU385167.1,EU384980.1,KF989622.1,,,
Gongylosciadium,EU169272.1,,,,,,,,
Gongylotaxis,DQ516358.1,,,,,,,,
Goniobryum,,,,,AY631184.1,,,,
Goniocaulon,JF775393.1,KC590023.1,,JF775397.1,KC589853.1,JF775385.1,,,
Goniodiscus,,,,,,,,,
Goniolimon,,AF204855.1,GU351242.1,,AJ312254.1,,,,
Gonioma,,,,,,,,,
Goniomitrium,JN089180.1,,,,JN089222.1,DQ337181.1,AF223028.1,,
Goniophlebium,,,,,AB043099.1,EU483029.1,,EF463495.1,
Goniopteris,,,,,,KT805035.1,,,
Goniorrhachis,AY955776.1,EU361959.1,,,AM234232.1,AY232751.1,,,
Goniostemma,,,,,,,,,
Goniothalamus,KR532200.1,KM818629.1,,KM818660.1,KM818843.1,KM818898.1,,,
Gonocalyx,AF382678.1,AF382767.1,,,KJ082331.1,,,,
Gonocarpus,KC988281.1,KJ768841.1,,,JQ933346.1,,,,
Gonocaryum,,GQ983654.1,,AJ400889.1,AJ235779.1,GQ984057.1,AF206919.1,AJ400883.1,
Gonocormus,,,,,,,,,
Gonocrypta,,,,,,,,,
Gonocytisus,EF457717.1,,,,,,,,
Gonolobus,,JQ586766.1,,,JQ590531.1,AY163689.1,,,
Gonospermum,AF155246.1,,,AF153665.1,,AJ748789.1,,,
Gonostegia,FJ980382.1,KF138009.1,KF138103.1,,KF138181.1,FJ432252.1,KF137764.1,,
Gonostemon,,,,,,,,,
Gontscharovia,GU381438.1,GU381770.1,,,,GU381612.1,,,
Gonystylus,KU991101.1,KU244211.1,,,Y15150.1,AY216759.1,,AJ233095.1,
Gonzalagunia,AY730295.1,JQ589622.1,,GQ852207.1,Y11848.1,AF152721.1,,,
Goodallia,KP068292.1,,,,,,KP068173.1,,
Goodenia,AY102793.1,KT724280.1,,AJ318990.1,X87386.1,KT750321.1,,AJ318977.1,
Goodia,,,,,,,,,
Goodmania,JQ352519.1,,,,,JQ352673.1,,,
Goodyera,KT344083.1,KT385646.1,,,KF695154.1,KT385572.1,,FJ571178.1,
Gorceixia,EF155773.1,,,EF155685.1,,EF155861.1,,,
Gordonia,AY070325.1,AF380085.1,AY163735.1,,AF380042.1,HM100591.1,,,
Gorgonidium,,AM920591.1,,,AM905769.1,EF173582.1,,,
Gorodkovia,,,,,,,,,
Gorteria,JQ220278.1,EU385360.1,,EU385168.1,AM234875.1,EU385074.1,,,
Gosela,,,,,,,,,
Gossia,AM234132.1,JN564152.1,,,JN564298.1,KC428528.1,,,
Gossweilera,,,,,,,,,
Gossweilerodendron,,,,,,,,,
Gossypioides,U56783.1,AF403563.1,,U55329.1,,,,,
Gossypium,AB972869.1,,GU351218.1,,,KC886596.1,,,
Gottschea,,,,,KF852365.1,AY463558.1,,,
Gottschelia,,,,,KF852362.1,KJ802085.1,,,
Gouania,,,,,,,,,
Gouinia,GU359314.1,JN681633.1,,JN681735.1,JN681671.1,EF156702.1,,,
Goupia,,EF135544.1,AY674516.1,AY425054.1,AJ235780.1,,AF206920.1,AJ235485.2,
Govenia,AF521056.1,EF525690.1,,,AF074175.1,AF519917.1,,,
Goyazia,GQ344518.1,JX196004.1,,AF257485.1,,AY702409.1,,,
Goyazianthus,KP454357.1,,,KP454935.1,,,,,
Goydera,AJ320447.1,,,,,AJ410210.1,,,
Grabowskia,AF238982.1,,,EU580883.1,HQ216120.1,DQ124557.1,,HQ215957.1,
Graderia,KC480340.1,,,,AM235043.1,,,,
Gradsteinia,HQ443749.1,,,,,HQ443874.1,,,
Graellsia,GQ424572.1,,,DQ288772.1,,,,,
Graffenrieda,KF821485.1,,,AF215576.1,AF215532.2,,,,
Grafia,,,,,,,,,
Grahamia,,,,,,,,,
Grajalesia,,,,,,,,,
Grammangis,,KT750202.1,,,KT750219.1,,,,
Grammatophyllum,AF470488.1,EF079262.1,,,AF074176.1,AF239606.1,,,
Grammatotheca,AF163429.1,AF176897.1,,DQ356088.1,DQ356116.1,DQ356168.1,,,
Grammica,KU725869.1,,HQ593760.1,,KJ436723.1,KU761502.1,,AY100846.1,
Grammitis,,,,,AY460643.1,JQ911714.1,,JX499239.1,
Grammosciadium,AF073553.2,,,,,,,,
Grammosolen,,AJ585877.1,,AY098721.1,,AY098692.1,,,
Granatum,,,,,,,,,
Grandidiera,,,,AY757131.1,,,,,
Grandiphyllum,FJ565663.1,FJ565155.1,,,FJ534200.1,FJ562382.1,,,
Grangea,JN315920.1,,,,JQ933347.1,JN315896.1,,,
Grangeopsis,,,,,,,,,
Grangeria,GQ424460.1,JQ898877.1,,,GQ424480.1,,,,
Granitites,HQ340160.1,,,,AJ306539.1,AJ306540.1,,,
Grantia,,,,,,,AF452021.1,,
Graphandra,,,,,,,,,
Graphephorum,DQ336823.1,DQ786917.1,,DQ786845.1,,DQ336843.1,,DQ780991.1,
Graphistemma,,,,,EU196275.1,HG530581.1,,,
Graphistylis,EF538212.2,GU817464.1,,GU817863.1,,GU818004.1,,,
Graphorchis,,AY368410.1,,,FN870831.1,,,,
Graphorkis,,AY368410.1,,,FN870831.1,,,,
Graptopetalum,AY545706.1,AF115611.1,,,,AY540574.1,,,
Graptophyllum,KT004479.1,KM894455.1,,,KF496794.1,,,,
Graptoveria,,,,,,,,,
Grastidium,,,,,,,,,
Gratiola,EF526401.1,AF531777.1,,AF188183.1,AF026827.1,AY727237.1,,HQ384741.1,
Gratwickia,,JX564849.1,,,,AF141847.1,,,
Grauanthus,,,,,,,,,
Gravesia,,,,AF270755.1,AF270750.2,,,,
Grayia,,,,,,,,,
Grazielanthus,GU177656.1,,,,,GU177693.1,,,
Grazielia,KP454362.1,,,KP454937.1,,,,,
Grazielodendron,,AF270862.1,,,,EU735864.1,,,
Greenea,,HM119539.1,,HM164371.1,EU817419.1,AF152657.1,,,
Greeneothallus,,,,,AY688780.1,AY688808.1,,AY688818.1,
Greeniopsis,JQ398739.1,,,,,AM909626.1,,,
Greenmaniella,,AY215802.1,,AF384728.3,AY215121.1,AY216180.1,,,
Greenwayodendron,,AY743489.1,,AY841408.1,AY743451.1,AY319090.1,,,
Greigia,,AY950016.1,,HQ895751.1,KC123367.1,DQ084600.1,,,
Grenacheria,,,,,,,,,
Greslania,,HE575861.1,,HE575761.1,EF125080.1,,,,
Grevea,,AJ429357.1,,AJ430426.1,AJ315130.1,,,,
Grevillea,FJ468579.1,KT454605.1,AF197808.1,KT624424.1,KP900613.1,KP900426.1,AF197577.1,KT624332.1,
Grewia,,KM392250.1,,AF111769.1,KP088626.1,KR738121.1,AF206921.1,AJ233105.1,
Greyia,DQ435400.1,AF542592.1,,,JX572648.1,DQ435379.1,U43151.1,AF209594.1,
Grias,JN222215.1,,,DQ388179.1,AF077652.1,DQ417998.1,,,
Grielum,,,,,AJ403023.1,,,,
Griffinia,KC207419.1,,,AY434478.1,AF116958.1,KC217447.1,,,
Griffithsochloa,,,,,,,,,
Griffonia,,EU361961.1,,,AM234265.1,FJ801165.1,,,
Grimaldia,,,,,,,,,
Grimmeodendron,,,,,AY794832.1,AY794612.1,,,
Grimmia,EU343779.1,HG792561.1,,JN162187.1,JN162301.1,EU246916.1,DQ629395.1,DQ646068.1,
Grindelia,JQ012003.1,KT176593.1,,KT176833.1,KT178113.1,,KT179667.1,KT176242.1,
Grisebachia,,,,,,,,,
Grisebachianthus,,,,,,,,,
