Blennosperma nanum var. nanum,Blennosperma nanum ssp. nanum,Blennosperma nanum subsp. nanum
Brickellia californica
Calendula officinalis
Carduus pycnocephalus
Centaurea benedicta
Centaurea melitensis
Centaurea solstitialis
Centromadia fitchii,Hemizonia fitchii
Centromadia pungens,Hemizonia pungens
Chaenactis glabriuscula var. lanosa,Chaenactis glabriuscula ssp. lanosa,Chaenactis glabriuscula subsp. lanosa
Cichorium intybus
Cirsium brevistylum
Cirsium occidentale var. californicum,Cirsium occidentale ssp. californicum,Cirsium occidentale subsp. californicum
Cirsium occidentale var. coulteri,Cirsium occidentale ssp. coulteri,Cirsium occidentale subsp. coulteri
Cirsium occidentale var. occidentale,Cirsium occidentale ssp. occidentale,Cirsium occidentale subsp. occidentale
Cirsium occidentale var. venustum,Cirsium occidentale ssp. venustum,Cirsium occidentale subsp. venustum
Cirsium ochrocentrum
Cirsium undulatum
Cirsium vulgare
Constancea nevinii,Eriophyllum nevinii
Corethrogyne filaginifolia,Lessingia filaginifolia var. filaginifolia,Lessingia filaginifolia ssp. filaginifolia,Lessingia filaginifolia subsp. filaginifolia
Cotula australis
Cotula coronopifolia
Crepis setosa
Cynara cardunculus
Deinandra clementina,Hemizonia clementina
Deinandra fasciculata,Hemizonia fasciculata
Deinandra increscens ssp. increscens,Deinandra increscens subsp. increscens,Deinandra increscens var. increscens,Hemizonia increscens ssp. increscens,Hemizonia increscens subsp. increscens,Hemizonia increscens var. increscens
Delairea odorata,Senecio mikanioides
Encelia californica
Ericameria ericoides,Haplopappus ericoides
Ericameria palmeri var. pachylepis,Ericameria palmeri ssp. pachylepis,Ericameria palmeri subsp. pachylepis,Haplopappus palmeri var. pachylepis,Haplopappus palmeri ssp. pachylepis,Haplopappus palmeri subsp. pachylepis
Erigeron bonariensis,Conyza bonariensis
Erigeron canadensis,Conyza canadensis
Erigeron foliosus var. foliosus,Erigeron foliosus ssp. foliosus,Erigeron foliosus subsp. foliosus
Erigeron glaucus
Erigeron sanctarum
Eriophyllum confertiflorum var. confertiflorum,Eriophyllum confertiflorum ssp. confertiflorum,Eriophyllum confertiflorum subsp. confertiflorum
Eriophyllum staechadifolium
Eurybia radulina,Aster radulinus
Euthamia occidentalis,Solidago occidentalis
Gamochaeta ustulata,Gnaphalium purpureum
Glebionis coronaria,Chrysanthemum coronarium
Gnaphalium palustre
Grindelia camporum,Grindelia camporum var. bracteosa,Grindelia camporum ssp. bracteosa,Grindelia camporum subsp. bracteosa
Grindelia hirsutula
Grindelia stricta var. platyphylla,Grindelia stricta ssp. platyphylla,Grindelia stricta subsp. platyphylla
Hazardia cana,Haplopappus canus
Hazardia detonsa,Haplopappus detonsus
Hazardia squarrosa var. grindelioides,Hazardia squarrosa ssp. grindelioides,Hazardia squarrosa subsp. grindelioides,Haplopappus squarrosus ssp. grindelioides,Haplopappus squarrosus subsp. grindelioides,Haplopappus squarrosus var. grindelioides
Hedypnois cretica
Helenium puberulum
Helianthus annuus
Helminthotheca echioides,Picris echioides
Hesperevax sparsiflora var. sparsiflora,Hesperevax sparsiflora ssp. sparsiflora,Hesperevax sparsiflora subsp. sparsiflora
Heterotheca grandiflora
Hieracium argutum
Hypochaeris glabra
Hypochaeris radicata
Isocoma menziesii var. decumbens,Isocoma menziesii ssp. decumbens,Isocoma menziesii subsp. decumbens,Haplopappus venetus var. decumbens,Haplopappus venetus ssp. decumbens,Haplopappus venetus subsp. decumbens
Isocoma menziesii var. menziesii,Isocoma menziesii ssp. menziesii,Isocoma menziesii subsp. menziesii,Haplopappus venetus ssp. oxyphyllus,Haplopappus venetus subsp. oxyphyllus,Haplopappus venetus var. oxyphyllus,Haplopappus venetus var. oxyphyllus,Haplopappus venetus ssp. oxyphyllus,Haplopappus venetus subsp. oxyphyllus
Isocoma menziesii var. sedoides,Isocoma menziesii ssp. sedoides,Isocoma menziesii subsp. sedoides,Haplopappus venetus var. sedoides,Haplopappus venetus ssp. sedoides,Haplopappus venetus subsp. sedoides
Isocoma menziesii var. vernonioides,Isocoma menziesii ssp. vernonioides,Isocoma menziesii subsp. vernonioides,Haplopappus venetus var. vernonioides,Haplopappus venetus ssp. vernonioides,Haplopappus venetus subsp. vernonioides,Haplopappus venetus ssp. vernonioides,Haplopappus venetus subsp. vernonioides,Haplopappus venetus var. vernonioides
Jaumea carnosa
Lactuca saligna
Lactuca serriola
Laennecia coulteri,Conyza coulteri
Lasthenia glabrata ssp. coulteri,Lasthenia glabrata subsp. coulteri,Lasthenia glabrata var. coulteri
Lasthenia gracilis,Lasthenia californica
Layia platyglossa
Lepidospartum squamatum
Leptosyne gigantea,Coreopsis gigantea
Logfia arizonica,Filago arizonica
Logfia filaginoides,Filago californica
Logfia gallica,Filago gallica
Madia elegans
Madia exigua
Madia gracilis
Madia sativa
Malacothrix clevelandii
Malacothrix coulteri
Malacothrix foliosa ssp. crispifolia,Malacothrix foliosa subsp. crispifolia,Malacothrix foliosa var. crispifolia
Malacothrix foliosa ssp. foliosa,Malacothrix foliosa subsp. foliosa,Malacothrix foliosa var. foliosa
Malacothrix foliosa ssp. philbrickii,Malacothrix foliosa subsp. philbrickii,Malacothrix foliosa var. philbrickii
Malacothrix foliosa ssp. polycephala,Malacothrix foliosa subsp. polycephala,Malacothrix foliosa var. polycephala
Malacothrix incana
Malacothrix indecora
Malacothrix junakii
Malacothrix saxatilis var. implicata,Malacothrix saxatilis ssp. implicata,Malacothrix saxatilis subsp. implicata
Malacothrix saxatilis var. tenuifolia,Malacothrix saxatilis ssp. tenuifolia,Malacothrix saxatilis subsp. tenuifolia
Malacothrix similis
Malacothrix squalida
Matricaria discoidea
Matricaria occidentalis
Micropus californicus var. californicus,Micropus californicus ssp. californicus,Micropus californicus subsp. californicus
Microseris douglasii ssp. douglasii,Microseris douglasii subsp. douglasii,Microseris douglasii var. douglasii
Microseris douglasii ssp. tenella,Microseris douglasii subsp. tenella,Microseris douglasii var. tenella
Microseris douglasii ssp. platycarpha,Microseris douglasii subsp. platycarpha,Microseris douglasii var. platycarpha
Microseris elegans
Munzothamnus blairii,Stephanomeria blairii
Pentachaeta lyonii
Perityle emoryi
Pluchea odorata
Pluchea sericea
Pseudognaphalium beneolens,Gnaphalium canescens ssp. beneolens,Gnaphalium canescens subsp. beneolens,Gnaphalium canescens var. beneolens
Pseudognaphalium biolettii,Gnaphalium bicolor
Pseudognaphalium californicum,Gnaphalium californicum
Pseudognaphalium luteoalbum,Gnaphalium luteoalbum
Pseudognaphalium microcephalum,Gnaphalium canescens ssp. microcephalum,Gnaphalium canescens subsp. microcephalum,Gnaphalium canescens var. microcephalum
Pseudognaphalium ramosissimum,Gnaphalium ramosissimum
Pseudognaphalium stramineum,Gnaphalium stramineum
Psilocarphus brevissimus var. brevissimus,Psilocarphus brevissimus ssp. brevissimus,Psilocarphus brevissimus subsp. brevissimus
Psilocarphus tenellus
Rafinesquia californica
Senecio aphanactis
Senecio flaccidus var. douglasii,Senecio flaccidus ssp. douglasii,Senecio flaccidus subsp. douglasii
Senecio glomeratus
Senecio lyonii
Senecio vulgaris
Silybum marianum
Solidago velutina ssp. californica,Solidago velutina subsp. californica,Solidago velutina var. californica,Solidago californica
Sonchus asper
Sonchus oleraceus
Sonchus tenerrimus
Stebbinsoseris heterocarpa,Microseris heterocarpa
Stephanomeria cichoriacea
Stephanomeria diegensis
Stephanomeria exigua ssp. coronaria,Stephanomeria exigua subsp. coronaria,Stephanomeria exigua var. coronaria
Stephanomeria virgata ssp. virgata,Stephanomeria virgata subsp. virgata,Stephanomeria virgata var. virgata
Stylocline gnaphaloides
Symphyotrichum chilense,Aster chilensis
Symphyotrichum subulatum,Aster subulatus
Taraxacum erythrospermum
Taraxacum officinale
Thelesperma megapotamicum
Tragopogon porrifolius
Uropappus lindleyi,Microseris lindleyi
Venegasia carpesioides
Xanthium spinosum
Xanthium strumarium
Batis maritima
Berberis pinnata ssp. insularis,Berberis pinnata subsp. insularis,Berberis pinnata var. insularis
Amsinckia intermedia,Amsinckia menziesii var. intermedia,Amsinckia menziesii ssp. intermedia,Amsinckia menziesii subsp. intermedia
Amsinckia menziesii,Amsinckia menziesii var. menziesii,Amsinckia menziesii ssp. menziesii,Amsinckia menziesii subsp. menziesii
Amsinckia spectabilis var. spectabilis,Amsinckia spectabilis ssp. spectabilis,Amsinckia spectabilis subsp. spectabilis
Cryptantha clevelandii
Cryptantha intermedia var. intermedia,Cryptantha intermedia ssp. intermedia,Cryptantha intermedia subsp. intermedia
Cryptantha leiocarpa
Cryptantha maritima
Johnstonella micromeres,Cryptantha micromeres
Cryptantha microstachys
Cryptantha muricata
Cryptantha traskiae
Cryptantha wigginsii
Emmenanthe penduliflora var. penduliflora,Emmenanthe penduliflora ssp. penduliflora,Emmenanthe penduliflora subsp. penduliflora
Eriodictyon traskiae ssp. traskiae,Eriodictyon traskiae subsp. traskiae,Eriodictyon traskiae var. traskiae
Eucrypta chrysanthemifolia var. chrysanthemifolia,Eucrypta chrysanthemifolia ssp. chrysanthemifolia,Eucrypta chrysanthemifolia subsp. chrysanthemifolia
Harpagonella palmeri
