taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Hazardia cana,U97612.1,,,,,,,,
Hazardia detonsa,AF251582.1,,,,,,,,
Hazardia squarrosa var. grindelioides,JQ012001.1,,,,,,,,
Hedypnois cretica,EF190030.1,HM850640.1,,,HM850046.1,,,,
Helianthus annuus,JN115024.1,AY215805.1,GU351222.1,L39383.1,AF097517.1,KM385516.1,HM638219.1,KJ434427.1,
Helminthotheca echioides,DQ451796.1,AJ633230.1,,,KM360933.1,DQ449612.1,,,
Hieracium argutum,,,,,,DQ460868.1,,,
Hypochaeris glabra,AY504692.1,AJ633232.1,,AY504734.1,HM850068.1,AY504774.1,,,
Hypochaeris radicata,AF528460.1,AJ633231.1,,,KM360829.1,AF528380.1,,,
Isocoma menziesii var. vernonioides,AF251571.1,,,,,,,,
Jaumea carnosa,AF374928.1,AY215814.1,,L39378.1,AY215132.1,AY216192.1,,,
Lactuca saligna,AJ633336.1,AJ633238.1,,,,,,,
Lactuca serriola,KT249919.1,JN896267.1,,,KM360838.1,KF486175.1,,,
Lasthenia glabrata ssp. coulteri,AF391591.1,AF391724.1,,,,,,,
Lasthenia gracilis,AF550691.1,AF467150.1,,,,,,,
Leptosyne gigantea,AY561295.1,EU049339.1,,,,EU047872.1,,,
Logfia arizonica,FN645839.1,,,,,FN645807.1,,,
Logfia filaginoides,FN645840.1,,,,,FN645808.1,,,
Logfia gallica,FN645838.1,HM850631.1,,,HM850006.1,FN645799.1,,,
Madia elegans,AF413612.1,,,L39374.1,,,,,
Madia sativa,AF229319.1,AY215823.1,,,AY215141.1,AY216201.1,,,
Malacothrix clevelandii,AY218988.1,,,,,,,,
Malacothrix coulteri,AY218992.1,,,,,,,,
Malacothrix foliosa ssp. crispifolia,FJ595177.1,,,,,,,,
Malacothrix foliosa ssp. foliosa,FJ595176.1,,,,,,,,
Malacothrix foliosa ssp. philbrickii,FJ595178.1,,,,,,,,
Malacothrix foliosa ssp. polycephala,AY218987.1,,,,,,,,
Malacothrix incana,FJ595175.1,,,,,,,,
Malacothrix indecora,FJ595174.1,,,,,,,,
Malacothrix junakii,FJ595171.1,,,,,,,,
Malacothrix saxatilis var. implicata,AY218984.1,,,,,,,,
Malacothrix saxatilis var. tenuifolia,FJ595168.1,,,,,,,,
Malacothrix similis,FJ595172.1,,,,,,,,
Malacothrix squalida,FJ595169.1,,,,,,,,
Matricaria discoidea,EU179213.1,HM850671.1,,,HM850160.1,,,,
Microseris elegans,U69707.1,,,,,,,,
Munzothamnus blairii,AF473614.1,,,,,,,,
Pentachaeta lyonii,JX273133.1,,,,,,,,
Perityle emoryi,AF374868.1,GU817503.1,,GU817892.1,GU817779.1,GU818045.1,,,
Pluchea odorata,,KJ773018.1,,,KJ773762.1,,,,
Pluchea sericea,AF545826.1,,,L39452.1,AY874439.1,,,,
Pseudognaphalium beneolens,,,,HG797967.1,,,,,
Pseudognaphalium biolettii,,,,HG797968.1,,,,,
Pseudognaphalium californicum,HM244709.1,HM445640.1,,HM445676.1,,HM364545.1,,,
Pseudognaphalium luteoalbum,EU352242.1,HM445639.1,,HM445674.1,KT626769.1,FN645763.1,,,
Pseudognaphalium microcephalum,L40639.1,,,,,,,,
Pseudognaphalium ramosissimum,KT865584.1,,,HG797973.1,,,,,
Rafinesquia californica,AF473612.1,,,,,,,,
Senecio aphanactis,AF457430.1,,,,,,,,
Senecio flaccidus var. douglasii,AF161640.1,,,,,,,,
Senecio glomeratus,EU331117.1,AY554083.1,,,,,,,
Senecio vulgaris,EF538396.1,AF151509.1,,EF538017.2,HM850347.1,EF538139.1,,,
Silybum marianum,AJ831537.1,AY013551.1,,KC589999.1,KC589895.1,AF129836.1,AM267320.1,,
Sonchus asper,KT249862.1,DQ022963.1,,,HM850372.1,JQ041867.1,,,
Sonchus oleraceus,KT249905.1,EU385397.1,,EU385206.1,KM360989.1,KF196068.1,,,
Sonchus tenerrimus,AY458000.1,DQ840452.1,,,HM850374.1,,,,
Stebbinsoseris heterocarpa,AJ581722.1,,,,,,,,
Stephanomeria cichoriacea,AF473649.1,,,,,,,,
Stephanomeria diegensis,AF473618.1,AJ633245.1,,,,,,,
Stephanomeria exigua ssp. coronaria,AF473633.1,,,,,,,,
Stephanomeria virgata ssp. virgata,AF473622.1,,,,GQ429024.1,GQ429030.1,,,
Symphyotrichum subulatum,LC027381.1,HM850626.1,,,HM849800.1,JN315903.1,,,
Taraxacum erythrospermum,AJ633291.1,AJ633160.1,,,,KF275137.1,,,
Taraxacum officinale,AB766235.1,AJ633157.1,,AF218346.1,KM361005.1,EF015611.1,,,
Thelesperma megapotamicum,AY017367.1,AY551501.1,,,,EU047883.1,,,
Tragopogon porrifolius,FJ980347.1,AJ633261.1,,L39391.1,GQ436477.1,EF374362.1,,,
Uropappus lindleyi,AF386495.1,AJ633242.1,,AF218334.1,,,,,
Venegasia carpesioides,AF229301.1,AY215876.1,,AF384797.3,AY215192.1,AY216252.1,,,
Xanthium spinosum,,HM850669.1,,,HM850472.1,,,,
Xanthium strumarium,DQ005983.1,KP210453.1,,,HM850473.1,,,,
Batis maritima,,AY483219.1,GU351158.1,EU002199.1,M88341.1,,U42504.1,AF209538.1,
Amsinckia menziesii,JQ513392.1,,,,KF997304.1,KC542579.1,,,
Cryptantha leiocarpa,JQ513421.1,,,,,JQ582323.1,,,
Cryptantha maritima,JQ513425.1,,,,,JQ582328.1,,,
Johnstonella micromeres,JQ513428.1,,,,,JQ582330.1,,,
Cryptantha traskiae,JQ513443.1,,,,,JQ582345.1,,,
Emmenanthe penduliflora var. penduliflora,,,,AF047815.1,,,,,
Harpagonella palmeri,KF849150.1,,,,,KC542590.1,,,
Heliotropium curassavicum var. oculatum,AF396897.1,,,,,,,,
Nama stenocarpum,AF091181.1,,,AF047766.1,,,,,
Nemophila menziesii,KP208615.1,,,AF047809.1,KF158108.1,KF158201.1,,,
Pectocarya penicillata,JQ513450.1,,,,,KC542549.1,,,
Phacelia cicutaria var. hispida,JX233433.1,,,JQ249936.1,,,,,
Phacelia hubbyi,,,,JQ249980.1,,,,,
Phacelia distans,JX233454.1,,,JQ250026.1,,JQ582361.1,,,
Phacelia grandiflora,AF091190.1,,,AF047818.1,,,,AJ504837.1,
Phacelia insularis var. insularis,FJ814627.1,,,JQ249937.1,,,,,
Phacelia ramosissima,AF091199.1,,,AF047821.1,,,,,
Phacelia viscida,FJ814650.1,,,JQ250031.1,,,,,
Athysanus pusillus,GU246183.1,,,,,GU246241.1,,,
Brassica nigra,AF128102.1,LC064387.1,,DQ200031.1,HM849822.1,KF947386.1,,,
Brassica tournefortii,LC089997.1,,,LC090122.1,,GQ268044.1,,,
Brassica rapa,JN564039.1,AY541619.1,,DQ200044.1,KM025248.1,GQ268033.1,LC009534.1,,
Cakile edentula,KJ685080.1,JN584957.1,,DQ200039.1,HM849832.1,,,,
Cakile maritima,AY254541.1,JN584959.1,,DQ288745.1,KM360685.1,EU620406.1,,,
Capsella bursa-pastoris,LC089998.1,KT456900.1,KT458967.1,DQ288748.1,KM360691.1,DQ310514.1,KT459181.1,,
Cardamine californica,FJ464467.1,,,AF198143.1,,FJ464547.1,,,
Cardamine oligosperma,DQ268389.1,,,,,DQ268221.1,,,
Caulanthus lasiophyllus,JF827199.1,,,EU718534.1,,JF827262.1,,,
Descurainia pinnata,HQ896603.1,KJ772714.1,,,JX848438.1,,,,
Dithyrea maritima,,,,JQ323048.1,,,,,
Draba cuneifolia,DQ467526.1,,,,,DQ467111.1,,,
Erysimum cheiri,LC090007.1,JN893987.1,,LC090132.1,JN892013.1,DQ180305.1,,,
Hirschfeldia incana,AY722470.1,JN584990.1,,DQ288778.1,KM360819.1,EU620407.1,,,
Hornungia procumbens,AJ440310.1,,,DQ288779.1,,AY015986.1,,,
Lepidium didymum,,JF926656.1,,,JN847819.1,DQ821407.1,,,
Lepidium draba,EF367913.1,HM850735.1,,DQ288790.1,HM850118.1,DQ821408.1,,,
Lepidium lasiocarpum,AJ582455.1,,,,,EF367816.1,,,
Lepidium latipes,AJ582416.1,,,,,AY015950.1,,,
Lepidium nitidum,AJ582414.1,,,,,AY015959.1,,,
Lepidium oblongum,AJ582462.1,,,,,AY015960.1,,,
Lobularia maritima,AY254530.1,JF926639.1,,DQ288791.1,KM360861.1,KF022852.1,,,
Nasturtium officinale,LC090015.1,LC064384.1,,DQ288801.1,HM850197.1,AY030271.1,,,
Raphanus raphanistrum,GQ268068.1,AB354265.1,,DQ200032.1,HM850299.1,GQ268043.1,,,
Raphanus sativus,LC090017.1,AB354261.1,,LC090141.1,GQ184382.1,GQ268055.1,,AJ277564.1,
Sinapis arvensis,DQ249828.1,JN895631.1,,,HQ590272.1,AY751772.1,,,
Sisymbrium altissimum,HQ896628.1,JN585004.1,,DQ288826.1,JN847834.1,AY958545.1,,,
Sisymbrium irio,AB856331.1,AF144366.1,,,AY167982.1,AY958555.1,,,
Sisymbrium officinale,AB856333.1,JN895634.1,,,KM360983.1,AY958559.1,,,
