taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB
Festuca_microstachys,KF917217.1,DQ786948.1,,DQ786876.1,,EF593015.1,,DQ781022.1
Festuca_myuros,KJ598937.1,FN908075.1,,HE575749.1,FN870411.1,AF478526.1,,
Festuca_octoflora,KF917279.1,KJ773237.1,,KJ529501.1,KJ773986.1,EF593016.1,,
Hainardia_cylindrica,KJ598947.1,HE646577.1,,HE575742.1,EF125153.1,AF533035.1,,
Hordeum_brachyantherum_ssp_californicum,AJ607850.1,KM040722.1,,DQ247887.1,AY836169.1,FN568316.1,,
Hordeum_depressum,AJ607895.1,HF558507.1,,HF558473.1,AB078368.1,AJ969318.1,,
Hordeum_intercedens,AJ607929.1,KM040699.1,,HQ619413.1,AY137450.1,AJ969367.1,,
Hordeum_marinum_ssp_gussoneanum,KP126670.1,KM040725.1,,DQ247889.1,AY836171.1,AB732935.1,,
Hordeum_murinum_ssp_glaucum,KM217266.1,AB078120.1,,DQ247890.1,AY836172.1,AB078467.1,KT429578.1,
Hordeum_murinum_ssp_leporinum,KM217268.1,AB078122.1,,,AB078391.1,AB078469.1,KT429577.1,
Hordeum_vulgare,KM217265.1,KM040747.1,,U22003.1,LN626641.1,AB732939.1,M82670.1,AM110187.1
Koeleria_macrantha,DQ336826.1,LN554439.1,,KM538756.1,JX848501.1,DQ336846.1,,
Lamarckia_aurea,KJ598943.1,JX438085.1,,JX438140.1,AJ784834.1,AF533029.1,,
Melica_imperfecta,L36519.1,,,KJ913016.1,,,,
Muhlenbergia_appressa,GU359164.1,,,GU359618.1,,,,
Muhlenbergia_microsperma,HM143092.1,,,HM143487.1,,GQ397943.1,,
Parapholis_incurva,KJ598945.1,AM234583.1,,DQ786859.1,EF125154.1,AF533036.1,,DQ781005.1
Paspalum_dilatatum,KF163842.1,HE574118.1,,AM849178.1,AM849371.1,EF137583.1,,
Paspalum_distichum,KF163848.1,FN908063.1,,HE575755.1,FN870399.1,EU871100.1,,
Pennisetum_clandestinum,,FN908064.1,,FR839625.1,FN870400.1,EU939988.1,,
Pennisetum_setaceum,GQ478102.1,HE574125.1,,HE573510.1,HE573427.1,EU940000.1,,
Phalaris_aquatica,JF951056.1,,,,,KC698996.1,,
Phalaris_canariensis,FJ178782.1,JX438068.1,,JX438117.1,KF997405.1,KC698994.1,,
Phalaris_caroliniana,JF951080.1,,,,,,,
Phalaris_lemmonii,JF951082.1,,,,,,,
Phalaris_minor,JF951069.1,KM487284.1,,KJ529437.1,KF997414.1,KC698997.1,,
Phalaris_paradoxa,JF951071.1,KM487283.1,,,HM850251.1,KC698999.1,,
Poa_annua,KJ599003.1,FN908068.1,,HE575747.1,FN870404.1,,,
Poa_palustris,EU792396.1,FN668472.1,,AY589118.1,KC483562.1,AY504654.1,,
Poa_howellii,JF904846.1,,,,,,,
Poa_secunda_ssp_secunda,EU792393.1,,,,,,,
Polypogon_viridis,DQ146796.1,DQ146824.1,,,HM850276.1,,,
Polypogon_monspeliensis,DQ146795.1,DQ146822.1,,DQ786865.1,KM360939.1,,,DQ781011.1
Schismus_arabicus,,,,GQ471662.1,EU400947.1,EU401259.1,,
Schismus_barbatus,AF019873.1,HE574432.1,,HE573550.1,HE573320.1,DQ218168.1,,
Stenotaphrum_secundatum,AF521902.1,KC123431.1,,AY029684.1,AM235074.1,EU939985.1,,
Stipa_diegoensis,JF697692.1,JF697796.1,,JF697852.1,,GU192017.1,,
Stipa_lepida,,FN434300.1,,,,,,
Stipa_pulchra,KC129484.1,,,GU222741.1,,,,
Stipa_miliacea_var_miliacea,JF769090.1,LN554445.1,,AY622317.1,FN870403.1,EU200913.1,,
Triticum_aestivum,KF482105.1,AF164405.1,X57965.1,DQ247921.1,LN626618.2,AF148757.1,,
Potamogeton_crispus,GU814243.1,JN894781.1,,,U80722.1,DQ786426.1,,AB250119.1
Stuckenia_pectinata,EF526376.1,JN894668.1,,,AB196953.1,DQ786420.1,,AB250128.1
Ruppia_maritima,AB728752.1,JN893851.1,,HQ901550.1,U03729.1,JQ034343.1,JN034103.1,HQ901526.1
Brodiaea_jolonensis,,FR832733.1,,AF508359.1,AF116993.1,AF508470.1,,
Dichelostemma_capitatum_ssp_capitatum,EU096190.1,,,AF508365.1,,AF508476.1,,
Triteleia_hyacinthina,,JQ276429.1,,JQ276816.1,JQ273934.1,AF508494.1,JQ283898.1,JQ273639.1
Typha_angustifolia,KF265388.1,AY952419.1,,U79230.2,AM110250.1,JF319462.1,AY952385.1,
Typha_domingensis,KF265389.1,HM850522.1,,,KJ773961.1,JF319472.1,,
Typha_latifolia,KF265390.1,AB088801.1,,,DQ069503.1,JF319484.1,AF168880.1,AF168951.1
Zannichellia_palustris,EF526374.1,AB818879.1,,HQ901547.1,U03725.1,DQ786418.1,AF168883.1,HQ901522.1
Phyllospadix_scouleri,,KF632812.1,,,DQ859172.1,,,
Phyllospadix_torreyi,AY077985.1,EF198333.1,,,U80731.1,,,
Zostera_marina,KM609954.1,JN034097.1,,,U03724.1,,HQ445940.1,
Zostera_pacifica,EF198348.1,EF198340.1,,,,,,
Anemopsis_californica,AF215920.3,DQ882198.2,AF197747.1,,AF197597.1,AF332965.1,AF197576.1,AF197608.1
Sambucus_nigra_ssp_caerulea,U88197.1,HQ714363.1,,,AJ420867.1,DQ679820.1,,GQ983634.1
Carpobrotus_edulis,,JQ024942.1,,,AM234787.1,,,
Mesembryanthemum_crystallinum,AM162360.1,HM850877.1,,,HM850175.1,KC834529.1,,
Mesembryanthemum_nodiflorum,,HM850878.1,,,HM850176.1,,,
Sesuvium_verrucosum,AJ937564.1,,,,AF132098.1,KJ848285.1,,
Tetragonia_tetragonioides,EU331123.1,HM850882.1,,AF194829.1,HM850395.1,KJ848248.1,U42496.1,
Amaranthus_albus,JF975856.1,JF953139.1,,,KP318830.1,KP318863.1,,
Amaranthus_blitoides,KF385442.1,HM850678.1,,AY959885.1,HM849762.1,,,
Amaranthus_deflexus,,HM850680.1,,,HM849764.1,,,
Amaranthus_powellii,KF493812.1,,,,KP318839.1,KP318872.1,,
Malosma_laurina,AY641510.1,,,AY643121.1,KF664553.1,AY640461.1,,
Rhus_integrifolia,AY641499.1,,,AY643111.1,,AY640451.1,,
Rhus_ovata,AY641502.1,,,AY643113.1,,AY640454.1,,
Schinus_molle,AY641512.1,FM179923.1,GU351299.1,AY643123.1,U39270.2,AY640463.1,AF207015.1,AF035914.1
Toxicodendron_diversilobum,AY677202.1,,,AY677205.1,,AY677208.1,,
Apium_graveolens,KJ473893.1,AJ429370.1,GU351154.1,AJ429124.1,L01885.2,,AF206852.1,AJ235396.2
Berula_erecta,KP871508.1,JN895702.1,,,KM360668.1,,,
Bowlesia_incana,KM671903.1,,,,U50232.1,,,
Conium_maculatum,GU266051.1,KT176597.1,,KT176837.1,KT178116.1,,KT179693.1,KT176245.1
Daucus_carota,KF234631.1,U58559.1,,,KM360751.1,KM385482.1,X17534.1,
Daucus_pusillus,KF467159.1,KJ772712.1,,,KJ773439.1,,,
Foeniculum_vulgare,FJ980396.1,U58563.1,,,KM360787.1,AF044586.1,,
Sanicula_arguta,AF031975.1,,,,,,,
Sanicula_crassicaulis,AF031986.1,,,,,,,
Sanicula_hoffmannii,AF031994.1,,,,,,,
Torilis_arvensis,FJ415110.1,JN895444.1,,,AM234827.1,,,
Torilis_nodosa,U30534.1,JN893952.1,,,HM850404.1,,,
Yabea_microcarpa,AF077121.1,,,,,,,
Asclepias_fascicularis,AM396885.1,,,,,AM295737.1,,
Vinca_major,,HM850836.1,,,HM850466.1,,,
Achillea_millefolium,JQ230971.1,EU385315.1,,EU385124.1,KM360610.1,AY603286.1,KT179658.1,
Achyrachaena_mollis,AF229318.1,,,,,,,
Acourtia_microcephala,FJ979679.1,,,L39408.1,,,,
Agoseris_grandiflora,AF386493.1,,,,,,,
Agoseris_heterophylla,L13954.1,,,,,,,
Amblyopappus_pusillus,AF229292.1,AY215761.1,,AF384692.3,AY215081.1,AY216140.1,,
Ambrosia_psilostachya,,KJ772536.1,,,KJ773262.1,,,
Anthemis_cotula,EU179216.1,JN895749.1,,,HM849779.1,,,
Arctium_minus,KT249920.1,AY013521.1,,KC589921.1,KC589794.1,AY772274.1,,
Argyranthemum_frutescens,EF577287.1,HM850625.1,,EU334459.1,HM849790.1,EF577340.1,,
Artemisia_californica,JX051687.1,,,,,JX073772.1,,
Artemisia_douglasiana,JX051723.1,,,,KF613102.1,JX073801.1,,
Artemisia_dracunculus,JX051718.1,HQ593182.1,,,,KF736819.1,,
Artemisia_nesiotica,JX051686.1,,,,,JX073771.1,,
Baccharis_salicifolia,EF190032.1,,,,,,,
Bahiopsis_laciniata,AF496929.1,,,,,,,
Brickellia_californica,KM668961.1,,,,,,,
Calendula_officinalis,AF422114.1,AF151446.1,,L39439.1,JQ933250.1,HQ439868.1,,
Carduus_pycnocephalus,EF123105.1,AY013528.1,,,,KC969561.1,,
Centaurea_benedicta,KC603917.1,AY013508.1,,,,KC969565.1,,
Centaurea_melitensis,HQ540425.1,EU385332.1,,EU385140.1,EU384954.1,EU385047.1,,
Centaurea_solstitialis,DQ319163.1,KC969491.1,,,,KC969575.1,,
Cichorium_intybus,JQ230974.1,AJ633132.1,,L39390.1,KM360720.1,GU817987.1,,AJ235433.1
Cirsium_brevistylum,AF443685.1,KC969502.1,,,,KC969586.1,,
Cirsium_occidentale_var_venustum,AF443703.1,,,,,,,
Cirsium_ochrocentrum,KC969553.1,KC969515.1,,,,KC969600.1,,
Cirsium_undulatum,JX867635.1,,,,JX848407.1,,KT179661.1,
Cirsium_vulgare,JX867638.1,KC969523.1,,,HM849899.1,AF129826.1,,
Constancea_nevinii,CIPP,CIPP,,AF384721.3,AY215113.1,AY216172.1,,
Corethrogyne_filaginifolia,JX680498.1,,,,,,,
Cotula_australis,EU352241.1,,,,KT626684.1,,,
Cotula_coronopifolia,AF422118.1,AY554071.1,,GU817849.1,KM360735.1,GU817960.1,,
Crepis_setosa,KT249906.1,KT250100.1,,,HE963438.1,,,
Cynara_cardunculus,JX867643.1,,,AB530947.1,,AF129828.1,,
Deinandra_clementina,EF059624.1,,,,,,,
Deinandra_fasciculata,EF059605.1,,,,,,,
Deinandra_increscens_ssp_increscens,EF059688.1,,,,,,,
Delairea_odorata,GU818542.1,HM850629.1,,L39435.1,L13933.1,GU817992.1,,
Encelia_californica,DQ383856.1,AY215790.1,,AF384717.2,AY215109.1,AY216168.1,,
Ericameria_ericoides,U97607.1,,,,,,,
Erigeron_bonariensis,GQ470550.1,JX518235.1,,,KJ773397.1,,,
Erigeron_canadensis,EF108397.1,KJ204460.1,,,KM360730.1,JQ041864.1,,
Erigeron_glaucus,AF118499.1,,,,KM360769.1,,,
Eriophyllum_staechadifolium,AF229284.1,AY215793.1,,,AY215112.1,AY216171.1,,
Eurybia_radulina,EU200208.1,,,,,GU480701.1,,
Euthamia_occidentalis,AF477651.1,,,,,,,
Gamochaeta_ustulata,AY947411.1,HM850638.1,,,HM850036.1,,,
Glebionis_coronaria,EF577292.1,,,EU334465.1,HM849892.1,JN315915.1,,
Gnaphalium_palustre,KT865481.1,,,,,,,
Grindelia_camporum,JQ011930.1,,,,,,,
Grindelia_hirsutula,JQ011899.1,,,,,,,
Grindelia_stricta_var_platyphylla,JQ011941.1,,,,,,,
Hazardia_cana,CIPP,,,,,,,
Hazardia_detonsa,AF251582.1,CIPP,,,,,,
Hazardia_squarrosa_var_grindelioides,JQ012001.1,,,,,,,
Hedypnois_cretica,EF190030.1,HM850640.1,,,HM850046.1,,,
Helianthus_annuus,JN115024.1,AY215805.1,GU351222.1,L39383.1,AF097517.1,KM385516.1,HM638219.1,KJ434427.1
Helminthotheca_echioides,DQ451796.1,AJ633230.1,,,KM360933.1,DQ449612.1,,
Hieracium_argutum,,,,,,DQ460868.1,,
Hypochaeris_glabra,AY504692.1,AJ633232.1,,AY504734.1,HM850068.1,AY504774.1,,
Hypochaeris_radicata,AF528460.1,AJ633231.1,,,KM360829.1,AF528380.1,,
Isocoma_menziesii_var_vernonioides,AF251571.1,,,,,,,
Jaumea_carnosa,AF374928.1,AY215814.1,,L39378.1,AY215132.1,AY216192.1,,
Lactuca_saligna,AJ633336.1,AJ633238.1,,,,,,
Lactuca_serriola,KT249919.1,JN896267.1,,,KM360838.1,KF486175.1,,
Lasthenia_glabrata_ssp_coulteri,AF391591.1,AF391724.1,,,,,,
Lasthenia_gracilis,AF550691.1,AF467150.1,,,,,,
Leptosyne_gigantea,AY561295.1,EU049339.1,,,,EU047872.1,,
Logfia_arizonica,FN645839.1,,,,,FN645807.1,,
Logfia_filaginoides,FN645840.1,,,,,FN645808.1,,
Logfia_gallica,FN645838.1,HM850631.1,,,HM850006.1,FN645799.1,,
Madia_elegans,AF413612.1,,,L39374.1,,,,
Madia_sativa,AF229319.1,AY215823.1,,,AY215141.1,AY216201.1,,
Malacothrix_clevelandii,AY218988.1,,,,,,,
Malacothrix_coulteri,AY218992.1,,,,,,,
Malacothrix_foliosa_ssp_crispifolia,FJ595177.1,,,,,,,
Malacothrix_foliosa_ssp_foliosa,FJ595176.1,,,,,,,
Malacothrix_foliosa_ssp_philbrickii,FJ595178.1,,,,,,,
Malacothrix_foliosa_ssp_polycephala,AY218987.1,,,,,,,
Malacothrix_incana,FJ595175.1,,,,,,,
Malacothrix_indecora,FJ595174.1,CIPP,,,CIPP,,,
Malacothrix_junakii,FJ595171.1,CIPP,,,CIPP,,,
Malacothrix_saxatilis_var_implicata,AY218984.1,CIPP,,,CIPP,,,
Malacothrix_saxatilis_var_tenuifolia,FJ595168.1,,,,,,,
Malacothrix_similis,FJ595172.1,,,,,,,
Malacothrix_squalida,FJ595169.1,CIPP,,,,,,
Matricaria_discoidea,EU179213.1,HM850671.1,,,HM850160.1,,,
Microseris_elegans,U69707.1,,,,,,,
Munzothamnus_blairii,AF473614.1,CIPP,,,CIPP,,,
Pentachaeta_lyonii,JX273133.1,,,,,,,
Perityle_emoryi,AF374868.1,GU817503.1,,GU817892.1,GU817779.1,GU818045.1,,
Pluchea_odorata,,KJ773018.1,,,KJ773762.1,,,
Pluchea_sericea,AF545826.1,,,L39452.1,AY874439.1,,,
Pseudognaphalium_beneolens,,,,HG797967.1,,,,
Pseudognaphalium_biolettii,,,,HG797968.1,,,,
Pseudognaphalium_californicum,HM244709.1,HM445640.1,,HM445676.1,,HM364545.1,,
Pseudognaphalium_luteoalbum,EU352242.1,HM445639.1,,HM445674.1,KT626769.1,FN645763.1,,
Pseudognaphalium_microcephalum,L40639.1,,,,,,,
Pseudognaphalium_ramosissimum,KT865584.1,,,HG797973.1,,,,
Rafinesquia_californica,AF473612.1,,,,,,,
Senecio_aphanactis,AF457430.1,,,,,,,
